AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,12/31/2021
Insider_Ownership,11.6,11.6,14.7
Institutional_Ownership,17.7,17.4,15.8
Net_Insider_Purchases,5.0,11.0,30.0
No_of_Employees,300.0,485.0,617.0
No_of_Institutions,18.0,15.0,11.0
