AAII_KEY_STATISTICS_DATA,01/31/2023,01/31/2022
Insider_Ownership,0.0,0.0
Institutional_Ownership,41.4,40.5
Net_Insider_Purchases,1.0,0.0
No_of_Employees,0.0,0.0
No_of_Institutions,95.0,97.0
