AAII_KEY_STATISTICS_DATA,12/31/2022,03/31/2022,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,,,,,,
Institutional_Ownership,19.2,21.8,23.9,22.6,2.5,
Net_Insider_Purchases,,,,,,
No_of_Employees,799.0,799.0,620.0,620.0,585.0,585.0
No_of_Institutions,12.0,14.0,18.0,17.0,5.0,
