AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022
Insider_Ownership,2.2,2.4,1.4
Institutional_Ownership,57.0,54.2,44.9
Net_Insider_Purchases,-39.0,142.0,2536.0
No_of_Employees,391.0,333.0,333.0
No_of_Institutions,69.0,56.0,22.0
