AAII_KEY_STATISTICS_DATA,07/31/2020,04/30/2020
Insider_Ownership,,
Institutional_Ownership,0.0,0.0
Net_Insider_Purchases,-323000.0,-323000.0
No_of_Employees,17.0,17.0
No_of_Institutions,0.0,0.0
