AAII_KEY_STATISTICS_DATA,12/31/2022,06/30/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,06/30/2020
Insider_Ownership,,,,,,,
Institutional_Ownership,20.4,20.3,20.7,2.1,3.6,10.3,11.5
Net_Insider_Purchases,,,,,,,
No_of_Employees,493.0,655.0,655.0,1036.0,1036.0,1036.0,1334.0
No_of_Institutions,11.0,15.0,16.0,19.0,24.0,26.0,16.0
