AAII_KEY_STATISTICS_DATA,12/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,,,,,,,
Institutional_Ownership,1.6,1.7,1.8,1.9,2.7,3.5,5.0
Net_Insider_Purchases,,,,,,,
No_of_Employees,1064.0,56.0,56.0,56.0,56.0,112.0,112.0
No_of_Institutions,20.0,20.0,25.0,41.0,47.0,39.0,45.0
