AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021
Insider_Ownership,10.9,7.4,7.6,2.0,8.1,8.1
Institutional_Ownership,78.6,79.5,76.9,78.5,50.5,60.0
Net_Insider_Purchases,5535.0,-936.0,-2213.0,-7167.0,59507.0,112224.0
No_of_Employees,1401.0,1138.0,1138.0,779.0,779.0,779.0
No_of_Institutions,249.0,248.0,250.0,203.0,128.0,82.0
