AAII_KEY_STATISTICS_DATA,02/25/2023,05/28/2022,02/26/2022,08/28/2021,05/29/2021,02/27/2021,11/30/2020,08/29/2020,05/30/2020
Insider_Ownership,0.6,,,,,,,,
Institutional_Ownership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Insider_Purchases,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,147.0,153.0,153.0,143.0,143.0,143.0,143.0,132.0,132.0
No_of_Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
