AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021
Insider_Ownership,,0.0,0.0,0.0,0.0,0.0
Institutional_Ownership,90.1,87.5,79.5,72.3,40.3,45.1
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,,,,,,
No_of_Institutions,91.0,90.0,84.0,64.0,40.0,32.0
