AAII_KEY_STATISTICS_DATA,09/30/2020,06/30/2020
Insider_Ownership,,
Institutional_Ownership,39.7,47.7
Net_Insider_Purchases,2308.0,700.0
No_of_Employees,,
No_of_Institutions,38.0,32.0
