AAII_KEY_STATISTICS_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,1.7,1.8,2.0,2.0,1.9,2.3
Institutional_Ownership,,,,,,
Net_Insider_Purchases,-339.0,-405.0,-312.0,-365.0,-482.0,-196.0
No_of_Employees,1394.0,1394.0,1394.0,1394.0,1168.0,1168.0
No_of_Institutions,356.0,364.0,396.0,376.0,289.0,262.0
