AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.4,0.5,0.9,1.0,1.1,1.0,1.1,0.8,0.8
Institutional_Ownership,89.9,90.1,88.6,88.1,91.8,90.5,91.5,91.1,92.1
Net_Insider_Purchases,30.0,76.0,-31.0,88.0,87.0,577.0,575.0,82.0,82.0
No_of_Employees,42.0,42.0,42.0,38.0,38.0,38.0,38.0,34.0,34.0
No_of_Institutions,478.0,462.0,464.0,459.0,454.0,474.0,460.0,445.0,447.0
