AAII_KEY_STATISTICS_DATA,07/02/2022,01/01/2022,10/02/2021,07/03/2021,04/03/2021,12/26/2020,09/26/2020,06/27/2020
Insider_Ownership,1.8,0.1,1.8,2.1,1.4,1.6,2.5,2.5
Institutional_Ownership,,,,,,,98.4,98.4
Net_Insider_Purchases,20.0,-7.0,91.0,83.0,-164.0,-176.0,0.0,3.0
No_of_Employees,3549.0,2990.0,2990.0,2990.0,2990.0,3890.0,3890.0,3890.0
No_of_Institutions,383.0,365.0,357.0,338.0,322.0,316.0,321.0,317.0
