AAII_KEY_STATISTICS_DATA,06/30/2021,12/31/2020
Insider_Ownership,,0.0
Institutional_Ownership,92.0,83.8
Net_Insider_Purchases,2875.0,0.0
No_of_Employees,,
No_of_Institutions,44.0,42.0
