AAII_KEY_STATISTICS_DATA,06/30/2022,12/31/2021,06/30/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,49.7,49.7,49.7,49.7,49.7,49.7
Institutional_Ownership,20.3,21.2,22.5,22.6,23.0,23.0
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,8924.0,8924.0,8927.0,8927.0,8852.0,8852.0
No_of_Institutions,67.0,67.0,71.0,81.0,87.0,84.0
