AAII_KEY_STATISTICS_DATA,12/31/2020,06/30/2020
Insider_Ownership,84.2,84.2
Institutional_Ownership,38.0,45.1
Net_Insider_Purchases,,
No_of_Employees,3359.0,3359.0
No_of_Institutions,25.0,41.0
