AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.2,0.5,0.5,0.1,0.3,0.4,0.3,0.2,0.4
Institutional_Ownership,99.9,,,,99.0,,99.1,,
Net_Insider_Purchases,19.0,95.0,156.0,7.0,108.0,189.0,115.0,-16.0,287.0
No_of_Employees,9746.0,9450.0,9450.0,9457.0,9457.0,9457.0,9457.0,10300.0,10300.0
No_of_Institutions,409.0,419.0,419.0,344.0,354.0,315.0,313.0,286.0,283.0
