AAII_KEY_STATISTICS_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,0.1,0.3,0.3,0.3,0.2
Institutional_Ownership,,,,,99.6
Net_Insider_Purchases,7.0,58.0,40.0,18.0,28.0
No_of_Employees,218.0,218.0,218.0,218.0,141.0
No_of_Institutions,225.0,227.0,243.0,237.0,240.0
