AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,2.5,0.3,0.5,0.1,0.3,0.1,0.0
Institutional_Ownership,37.2,39.6,37.6,31.0,26.4,32.9,33.2
Net_Insider_Purchases,750.0,39.0,82.0,8.0,-3787.0,-6369.0,3.0
No_of_Employees,37.0,33.0,33.0,3.0,3.0,3.0,3.0
No_of_Institutions,52.0,53.0,56.0,59.0,81.0,81.0,77.0
