AAII_KEY_STATISTICS_DATA,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,8.3,8.3,0.2,0.3,9.9,9.9,9.9,9.9
Institutional_Ownership,80.9,80.9,80.0,81.3,80.8,80.2,82.0,81.7
Net_Insider_Purchases,-2.0,2822.0,12.0,13.0,-2326.0,-49.0,35.0,51.0
No_of_Employees,5800.0,5800.0,5400.0,5400.0,5400.0,5400.0,5900.0,5900.0
No_of_Institutions,1366.0,1411.0,1248.0,1198.0,1142.0,1125.0,1063.0,1053.0
