AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021
Insider_Ownership,1.1,0.2,0.4,1.1
Institutional_Ownership,,,,95.6
Net_Insider_Purchases,108.0,13.0,-11.0,4.0
No_of_Employees,3700.0,2900.0,2900.0,2900.0
No_of_Institutions,478.0,512.0,524.0,526.0
