AAII_KEY_STATISTICS_DATA,09/30/2022,03/31/2022,12/31/2021
Insider_Ownership,11.6,10.3,40.0
Institutional_Ownership,6.6,9.1,6.3
Net_Insider_Purchases,13944.0,-2267.0,38520.0
No_of_Employees,6.0,6.0,6.0
No_of_Institutions,97.0,95.0,57.0
