AAII_KEY_STATISTICS_DATA,09/30/2020,06/30/2020
Insider_Ownership,3.2,3.4
Institutional_Ownership,69.2,78.7
Net_Insider_Purchases,-3125.0,-206.0
No_of_Employees,870.0,870.0
No_of_Institutions,183.0,180.0
