AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,0.0,0.0,0.8,0.0,0.0,0.8,0.8,,
Institutional_Ownership,91.8,91.2,89.8,91.1,89.7,89.3,88.4,86.8,88.8
Net_Insider_Purchases,-1.0,-1.0,14.0,-8.0,-8.0,17.0,14.0,0.0,0.0
No_of_Employees,1331.0,1359.0,1327.0,1305.0,1327.0,1342.0,1342.0,1424.0,1424.0
No_of_Institutions,382.0,387.0,400.0,357.0,353.0,360.0,358.0,341.0,336.0
