AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,03/31/2022,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Insider_Ownership,5.2,5.3,7.8,7.9,8.3,8.4,8.8,8.2,8.0,8.2
Institutional_Ownership,78.3,79.1,74.4,70.9,68.1,60.9,61.9,64.4,64.7,64.1
Net_Insider_Purchases,108.0,401.0,303.0,-7.0,269.0,339.0,286.0,29.0,1.0,1.0
No_of_Employees,460.0,430.0,430.0,440.0,440.0,440.0,440.0,420.0,420.0,420.0
No_of_Institutions,271.0,281.0,289.0,253.0,244.0,218.0,207.0,193.0,192.0,191.0
