AAII_KEY_STATISTICS_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,06/30/2020
Insider_Ownership,11.9,0.3,13.5,13.6,13.4
Institutional_Ownership,0.0,0.0,0.0,0.2,0.0
Net_Insider_Purchases,389.0,139.0,525.0,775.0,250.0
No_of_Employees,31.0,31.0,31.0,24.0,24.0
No_of_Institutions,0.0,0.0,0.0,1.0,0.0
