AAII_KEY_STATISTICS_DATA,03/31/2022,12/31/2021,09/30/2021,03/31/2021,12/31/2020
Insider_Ownership,,,,,
Institutional_Ownership,3.0,3.0,2.2,3.4,
Net_Insider_Purchases,,,,,
No_of_Employees,2936.0,2936.0,4291.0,4291.0,4291.0
No_of_Institutions,13.0,15.0,16.0,21.0,
