AAII_KEY_STATISTICS_DATA,12/31/2022,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019
Insider_Ownership,74.6,74.6,74.6,74.6,74.6,74.6
Institutional_Ownership,0.0,0.0,0.0,0.0,0.0,0.0
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0,0.0
No_of_Employees,1151.0,1155.0,1187.0,1272.0,1365.0,1420.0
No_of_Institutions,1.0,1.0,1.0,1.0,1.0,1.0
