AAII_KEY_STATISTICS_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Insider_Ownership,,,,,
Institutional_Ownership,83.7,85.0,83.1,87.4,88.5
Net_Insider_Purchases,0.0,0.0,0.0,0.0,0.0
No_of_Employees,12.0,12.0,12.0,19.0,19.0
No_of_Institutions,160.0,165.0,146.0,145.0,151.0
