AAII_KEY_STATISTICS_DATA,04/30/2022,01/31/2022,01/31/2021
Insider_Ownership,,,0.0
Institutional_Ownership,,,
Net_Insider_Purchases,0.0,0.0,0.0
No_of_Employees,42.0,42.0,42.0
No_of_Institutions,,,
