AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022
Insider_Ownership,2.9,2.4
Institutional_Ownership,28.1,17.2
Net_Insider_Purchases,153.0,0.0
No_of_Employees,12.0,
No_of_Institutions,23.0,30.0
