AAII_KEY_STATISTICS_DATA,09/30/2022,06/30/2022
Insider_Ownership,29.6,29.6
Institutional_Ownership,2.2,2.2
Net_Insider_Purchases,711.0,669.0
No_of_Employees,19.0,15.0
No_of_Institutions,1.0,2.0
