AAII_KEY_STATISTICS_DATA,03/31/2023,06/30/2022,09/30/2021,06/30/2021
Insider_Ownership,,,,0.0
Institutional_Ownership,18.6,18.0,19.3,96.5
Net_Insider_Purchases,0.0,0.0,0.0,0.0
No_of_Employees,1005.0,898.0,2.0,2.0
No_of_Institutions,60.0,59.0,62.0,102.0
