CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
Non-GAAP,,1/30/2027,,0.28,12/12/2025,0.28,12/11/2025,,,,,,,,
,,10/30/2026,,0.18,,,,,,,,,,,
,,7/30/2026,,0.14,,,,,,,,,,,
,,4/30/2026,,0.15,,,,,,,,,,,
,,1/30/2026,,0.25,,,,,,,,,,,
,12/3/2025,10/30/2025,0.37,0.16,,,,,,,,,,,
,9/4/2025,7/30/2025,0.01,0.15,,,,,,,,,,,
,5/29/2025,4/30/2025,-0.04,0.11,,,,,,,,,,,
,3/12/2025,1/30/2025,0.09,0.26,,,,,,,,,,,
,12/5/2024,10/30/2024,-0.02,0.11,,,,,,,,,,,
,9/5/2024,7/30/2024,-0.15,0.04,,,,,,,,,,,
,5/29/2024,4/30/2024,-0.05,0.13,,,,,,,,,,,
,3/13/2024,1/30/2024,0.06,0.22,,,,,,,,,,,
,11/30/2023,10/30/2023,-0.06,0.12,,,,,,,,,,,
,9/6/2023,7/30/2023,-0.11,0.09,,,,,,,,,,,
,5/24/2023,4/30/2023,-0.06,0.11,,,,,,,,,,,
,3/15/2023,1/30/2023,-0.05,0.15,,,,,,,,,,,
,12/1/2022,10/30/2022,-0.1,0.05,,,,,,,,,,,
,9/6/2022,7/30/2022,-0.22,-0.02,,,,,,,,,,,
,6/1/2022,4/30/2022,-0.23,-0.03,,,,,,,,,,,
,3/30/2022,1/31/2022,-0.12,0.05,,,,,,,,,,,
,12/8/2021,10/29/2021,-0.23,0.01,,,,,,,,,,,
,9/7/2021,7/30/2021,-0.19,0.01,,,,,,,,,,,
,6/8/2021,4/30/2021,-1.11,0.02,,,,,,,,,,,
,,1/29/2021,0.01,0.09,,,,,,,,,,,
,,10/30/2020,-0.41,-0.04,,,,,,,,,,,
,,7/31/2020,-0.01,0.03,,,,,,,,,,,
,,4/30/2020,-0.33,-0.09,,,,,,,,,,,
