CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,
Y/N,,12/31/2023,,2.94,2/4/2023,2.91,1/16/2023,2.93,12/8/2022,3.03,11/2/2022,3.31,10/7/2022,3.32,9/4/2022,3.32,8/1/2022,3.36,7/11/2022,3.36,6/10/2022,3.31,5/8/2022,3.03,4/13/2022,3.01,3/11/2022,2.93,2/3/2022,2.88,1/13/2022,2.84,12/8/2021,2.46,11/1/2021,2.2,10/10/2021,2.18,9/7/2021,2.11,7/31/2021,1.92,6/19/2021,1.92,5/22/2021,1.92,4/30/2021,1.92,4/8/2021
,,9/30/2023,,3.38,,3.41,,3.45,,3.5,,3.79,,3.79,,3.76,,3.74,,3.77,,3.63,,3.35,,3.32,,3.28,,3.24,,3.24,,2.85,,2.6,,2.58,,2.41,,2.27,,2.27,,2.27,,2.27,
,,6/30/2023,,3.51,,3.64,,3.68,,3.76,,3.89,,3.89,,3.88,,3.81,,3.84,,3.65,,3.31,,3.28,,3.17,,3.08,,3.01,,2.77,,2.66,,2.66,,2.44,,2.25,,2.25,,2.25,,2.25,
,,3/30/2023,,2.78,,2.87,,2.91,,3.02,,3.15,,3.14,,3.15,,3.07,,3.07,,3.08,,2.68,,2.67,,2.57,,2.3,,2.23,,1.94,,1.87,,1.86,,1.79,,1.76,,1.76,,1.76,,1.76,
,2/3/2023,12/31/2022,2.65,2.65,,2.85,,2.87,,2.98,,3.06,,3.1,,3.06,,3,,3,,3.03,,3.03,,3.01,,2.93,2/3/2022,2.88,1/13/2022,2.84,12/8/2021,2.46,11/1/2021,2.2,10/10/2021,2.18,9/7/2021,2.11,7/31/2021,1.92,6/19/2021,1.92,5/22/2021,1.92,4/30/2021,1.92,4/8/2021
,10/31/2022,9/30/2022,3.67,3.67,,3.72,,3.74,,3.69,,3.47,,3.46,,3.46,,3.35,,3.32,,3.28,,3.24,,3.24,,2.85,,2.6,,2.58,,2.41,,2.27,,2.27,,2.27,,2.27,,,,,,,
,7/27/2022,6/30/2022,4.1,4.1,,3.52,,3.52,,3.47,,3.31,,3.28,,3.17,,3.08,,3.01,,2.77,,2.66,,2.66,,2.44,,2.25,,2.25,,2.25,,2.25,,,,,,,,,,,,,
,5/2/2022,3/31/2022,2.98,2.98,,2.68,,2.67,,2.57,,2.3,,2.23,,1.94,,1.87,,1.86,,1.79,,1.76,,1.76,,1.76,,1.76,,,,,,,,,,,,,,,,,,,
,2/2/2022,12/31/2021,2.76,2.76,,2.57,,2.53,,2.21,,1.97,,1.96,,1.83,,1.73,,1.72,,1.72,,1.63,4/8/2021,1.61,3/4/2021,1.45,2/8/2021,1.43,12/23/2020,1.38,11/21/2020,1.38,11/20/2020,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,2.98,2.86,,2.34,,2.33,,2.12,,1.98,,1.97,,1.96,,1.85,,1.84,,1.82,,1.81,,1.79,,1.79,,,,,,,,,,,,,,,,,,,,,
