CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,0.21,9/19/2022,0.21,8/15/2022,0.23,7/20/2022,0.23,6/20/2022,0.23,5/14/2022,0.23,4/17/2022,,3/14/2022,0.06,2/11/2022,0.09,1/17/2022,0.1,12/11/2021,0.16,11/6/2021,0.16,10/18/2021,0.17,9/16/2021,0.27,8/14/2021,0.29,7/9/2021,0.29,6/4/2021,0.3,5/7/2021,0.3,4/12/2021,0.38,3/13/2021,0.46,2/11/2021,0.47,1/12/2021,0.5,12/11/2020,0.63,11/11/2020,0.81,10/11/2020,0.81,9/13/2020,0.86,8/4/2020,0.86,7/12/2020,0.86,7/6/2020,0.86,6/13/2020,0.85,6/7/2020,0.87,5/14/2020,0.87,5/8/2020
,,9/30/2023,,0.001,,0.001,,-0.01,,-0.02,,0.01,,0.01,,,,-0.19,,-0.07,,-0.06,,-0.01,,-0.01,,-0.01,,0.07,,0.08,,0.08,,0.08,,0.08,,0.09,,0.26,,0.27,,0.29,,0.38,,0.53,,0.53,,0.57,,0.57,,0.57,,0.57,,0.59,,0.59,,0.59,
,,6/30/2023,,-0.08,,-0.07,,-0.12,,-0.13,,-0.13,,-0.13,,,,-0.24,,-0.1,,-0.1,,-0.01,,-0.01,,-0.01,,0.07,,0.08,,0.08,,0.09,,0.09,,0.08,,0.27,,0.28,,0.3,,0.35,,0.46,,0.46,,0.49,,0.49,,0.49,,0.49,,0.49,,0.49,,0.49,
,,3/30/2023,,-0.12,,-0.13,,-0.12,,-0.12,,-0.16,,-0.16,,,,-0.27,,-0.09,,-0.09,,-0.03,,-0.03,,-0.03,,0.05,,0.06,,0.06,,0.06,,0.06,,0.04,,0.28,,0.3,,0.3,,0.34,,0.43,,0.43,,0.47,,0.47,,0.47,,0.47,,0.47,,0.46,,0.46,
,,12/31/2022,,0.07,,0.08,,0.07,,0.07,,0.04,,0.03,,0.03,,0.06,2/11/2022,0.09,1/17/2022,0.1,12/11/2021,0.16,11/6/2021,0.16,10/18/2021,0.17,9/16/2021,0.27,8/14/2021,0.29,7/9/2021,0.29,6/4/2021,0.3,5/7/2021,0.3,4/12/2021,0.38,3/13/2021,0.46,2/11/2021,0.47,1/12/2021,0.5,12/11/2020,0.63,11/11/2020,0.81,10/11/2020,0.81,9/13/2020,0.86,8/4/2020,0.86,7/12/2020,0.86,7/6/2020,0.86,6/13/2020,0.85,6/7/2020,0.87,5/14/2020,0.87,5/8/2020
,,9/30/2022,,-0.2,,-0.2,,-0.22,,-0.22,,-0.21,,-0.21,,-0.21,,-0.19,,-0.07,,-0.06,,-0.01,,-0.01,,-0.01,,0.07,,0.08,,0.08,,0.08,,0.08,,0.09,,0.26,,0.27,,0.29,,0.38,,0.53,,0.53,,0.57,,0.57,,0.57,,0.57,,0.59,,0.59,,0.59,
,8/10/2022,6/30/2022,-0.93,-0.27,,-0.3,,-0.3,,-0.27,,-0.27,,-0.27,,-0.24,,-0.1,,-0.1,,-0.01,,-0.01,,-0.01,,0.07,,0.08,,0.08,,0.09,,0.09,,0.08,,0.27,,0.28,,0.3,,0.35,,0.46,,0.46,,0.49,,0.49,,0.49,,0.49,,0.49,,0.49,,0.49,,,
,5/12/2022,3/31/2022,-0.94,-0.3,,-0.31,,-0.31,,-0.27,,-0.09,,-0.09,,-0.03,,-0.03,,-0.03,,0.05,,0.06,,0.06,,0.06,,0.06,,0.04,,0.28,,0.3,,0.3,,0.34,,0.43,,0.43,,0.47,,0.47,,0.47,,0.47,,0.47,,0.46,,0.46,,,,,,,,,
,2/10/2022,12/31/2021,-0.42,0.28,,0.15,,0.16,,0.14,,0.14,,0.14,,0.34,,0.36,,0.36,,0.37,,0.38,4/12/2021,0.38,3/13/2021,0.46,2/11/2021,0.47,1/12/2021,0.5,12/11/2020,0.63,11/11/2020,0.81,10/11/2020,0.81,9/13/2020,0.86,8/4/2020,0.86,7/12/2020,0.86,7/6/2020,0.86,6/13/2020,0.85,6/7/2020,0.87,5/14/2020,0.87,5/8/2020,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,-0.73,-0.06,,-0.07,,-0.07,,0.04,,0.05,,0.05,,0.05,,0.08,,0.09,,0.26,,0.27,,0.29,,0.38,,0.53,,0.53,,0.57,,0.57,,0.57,,0.57,,0.59,,0.59,,0.59,,,,,,,,,,,,,,,,,,,,,
