CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,0.1,2/6/2023,0.1,12/15/2022,0.1,11/4/2022,0.09,10/21/2022,0.09,9/16/2022,0.09,8/13/2022,0.09,7/21/2022,0.09,6/20/2022,0.13,5/12/2022,0.13,4/10/2022,,3/7/2022,0.1,1/19/2022,0.1,12/14/2021,0.14,11/6/2021,0.14,10/17/2021,0.14,10/16/2021
,,9/30/2023,,0.12,,0.15,,0.15,,0.09,,0.09,,0.09,,0.08,,0.08,,0.09,,0.09,,,,0.12,,0.13,,0.14,,0.14,,0.14,
,,6/30/2023,,0.11,,0.12,,0.13,,0.12,,0.12,,0.12,,0.08,,0.08,,0.1,,0.1,,,,0.17,,0.17,,0.16,,0.16,,0.16,
,,3/30/2023,,0.08,,0.09,,0.08,,0.07,,0.07,,0.07,,0.11,,0.11,,0.1,,0.1,,,,0.18,,0.18,,0.17,,0.17,,0.17,
,,12/31/2022,,0.01,,0.01,,0.04,,0.04,,0.04,,0.04,,0.04,,0.04,,0.06,,0.05,,0.05,,0.1,1/19/2022,0.1,12/14/2021,0.14,11/6/2021,0.14,10/17/2021,0.14,10/16/2021
,11/3/2022,9/30/2022,0.13,0.13,,0.05,,0.05,,0.05,,0.04,,0.04,,0.06,,0.05,,0.05,,0.12,,0.13,,0.14,,0.14,,0.14,,,,,
,8/4/2022,6/30/2022,0.09,0.09,,0.05,,0.05,,0.05,,0.04,,0.04,,0.17,,0.17,,0.16,,0.16,,0.16,,,,,,,,,,,
,5/5/2022,3/31/2022,0.05,0.05,,0.01,,0.01,,0.18,,0.18,,0.17,,0.17,,0.17,,,,,,,,,,,,,,,,,
,3/1/2022,12/31/2021,0.15,0.04,,0.04,,0.03,,0.07,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,0.17,0.17,,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,0.19,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.15,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/24/2021,12/31/2020,0.39,0.01,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,-0.01,-0.02,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/12/2020,3/31/2020,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/5/2020,12/31/2019,-0.07,0.01,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/4/2019,9/30/2019,-1.1,0.03,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,-0.3,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,-0.2,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,-0.22,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.73,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
