Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
12/31/2020,1.56,3/14/2020,1.54,3/8/2020,1.54,,1.66,,1.69,,,,
9/30/2020,1.56,,1.57,,1.57,,1.66,,1.65,,,,
6/30/2020,1.47,,1.51,,1.51,,1.6,,,,,,
3/31/2020,1.14,,1.21,,1.21,,1.32,,1.33,,,,
12/31/2019,1.09,,1.43,,1.54,,1.57,,1.55,,1.58,,
9/30/2019,1.44,,1.51,,1.54,,1.56,,1.59,,,,
6/28/2019,1.5,,1.51,,1.53,,,,,,,,
3/29/2019,1.231132075,,1.24,,1.25,,1.27,,,,,,
12/31/2018,1.459161965,,1.43,,1.44,,1.41,,,,,,
9/28/2018,0.953472381,,1.43,,1.38,,,,,,,,
6/29/2018,1.394923394,,1.33,,1.3,,,,,,,,
3/29/2018,1.104822278,,1.07,,,,,,,,,,
12/29/2017,1.430182721,,1.21,,1.2,,1.19,,1.16,,1.27,,
9/29/2017,3.142407907,,1.25,,1.22,,1.18,,1.21,,,,
6/30/2017,1.14801605,,1.16,,1.13,,1.12,,1.17,,,,
3/31/2017,0.957871397,,0.88,,0.87,,0.9,,0.96,,,,
12/30/2016,1.118756937,,1.1,,1.18,,1.19,,1.12,,1.13,,1.31
9/30/2016,1.152236175,,1.15,,1.14,,1.13,,1.12,,1.11,,1.34
6/30/2016,1.071350644,,1.07,,1.12,,1.32,,,,,,
3/31/2016,0.878642888,,0.85,,0.94,,0.93,,1.1,,,,
12/31/2015,1.15301257,,1.1,,1.22,,1.32,,1.3,,1.37,,
9/30/2015,0.958933563,,1,,1.05,,1.34,,1.35,,1.43,,
6/30/2015,1.144140291,,1.13,,1.22,,1.25,,1.34,,,,
3/31/2015,0.991489362,,0.98,,1.03,,1.11,,1.18,,1.21,,
