CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,
Y,,12/31/2026,,1.61,1/14/2026,1.61,12/2/2025,1.61,10/30/2025,1.55,9/3/2025,1.55,7/30/2025,1.57,7/16/2025,1.57,6/8/2025,1.57,4/30/2025
,,9/30/2026,,2.58,,2.58,,2.67,,2.51,,2.51,,2.56,,2.56,,2.56,
,,6/30/2026,,2.67,,2.67,,2.69,,2.72,,2.72,,2.62,,2.62,,2.62,
,,3/30/2026,,1.93,,1.93,,1.93,,1.99,,1.99,,1.97,,1.97,,1.97,
,,12/31/2025,,1.22,1/11/2025,1.22,1/11/2025,1.23,1/11/2025,1.41,1/11/2025,1.41,1/11/2025,1.45,1/11/2025,1.45,1/11/2025,1.45,1/11/2025
,10/27/2025,9/30/2025,2.58,2.58,,2.49,,2.53,,2.52,,2.52,,2.52,,,,,
,7/28/2025,6/30/2025,2.47,2.47,,2.28,,2.28,,2.28,,,,,,,,,
,4/28/2025,3/30/2025,1.85,1.85,,1.65,,1.65,,1.78,,,,,,,,,
,2/10/2025,12/31/2024,1.31,1.31,4/4/2024,1.28,4/4/2024,1.22,4/4/2024,1.33,4/4/2024,,,,,,,,
,10/21/2024,9/30/2024,2.21,2.21,,2.4,,2.4,,2.4,,,,,,,,,
,7/22/2024,6/30/2024,2.31,2.31,,2.48,,2.48,,2.58,,,,,,,,,
,4/22/2024,3/30/2024,1.77,1.77,,1.9,,1.9,,1.94,,,,,,,,,
,2/5/2024,12/31/2023,1.28,1.28,,1.48,,1.48,,1.48,,,,,,,,,
,10/23/2023,9/30/2023,2.43,2.44,,2.14,,2.14,,2.14,,,,,,,,,
,7/24/2023,6/30/2023,2.5,2.5,,2.02,,2.02,,2.02,,,,,,,,,
,4/24/2023,3/30/2023,2.05,2.05,,1.4,,1.4,,1.32,,,,,,,,,
,2/6/2023,12/31/2022,1.35,1.35,,1.03,,1.03,,1.03,,,,,,,,,
,10/24/2022,9/30/2022,2.06,2.06,,1.54,,1.55,,1.55,,,,,,,,,
,7/25/2022,6/30/2022,2.16,2.16,,2.02,,2.02,,2.02,,,,,,,,,
,4/25/2022,3/30/2022,2.18,2.18,,1.67,,1.67,,1.67,,,,,,,,,
,2/7/2022,12/31/2021,1.61,1.61,,0.95,,0.95,,0.95,,,,,,,,,
,10/25/2021,9/30/2021,1.7,1.7,,1.79,,1.79,,1.75,,,,,,,,,
,7/26/2021,6/30/2021,1.66,1.66,,1.61,,1.61,,1.22,,,,,,,,,
,4/26/2021,3/31/2021,1.16,1.16,,0.9,,0.86,,0.86,,,,,,,,,
,2/8/2021,12/31/2020,0.68,0.68,,0.66,,0.66,,0.65,,,,,,,,,
,10/26/2020,9/30/2020,1.54,1.54,,0.96,,0.96,,0.96,,,,,,,,,
,7/27/2020,6/30/2020,1.22,1.22,,0.52,,0.52,,,,,,,,,,,
,4/27/2020,3/31/2020,0.83,0.83,,0.83,,,,,,,,,,,,,
,2/3/2020,12/31/2019,0.63,0.63,,0.63,,,,,,,,,,,,,
,10/28/2019,9/30/2019,0.97,0.97,,0.97,,,,,,,,,,,,,
,7/29/2019,6/28/2019,0.88,0.88,,0.88,,,,,,,,,,,,,
,4/29/2019,3/29/2019,0.5,0.5,,0.5,,,,,,,,,,,,,
,2/4/2019,12/31/2018,0.28,0.34,,0.28,,,,,,,,,,,,,
,10/29/2018,9/28/2018,0.95,0.95,,0.95,,,,,,,,,,,,,
,7/30/2018,6/29/2018,0.94,0.94,,0.94,,,,,,,,,,,,,
,4/30/2018,3/29/2018,0.54,0.54,,0.54,,,,,,,,,,,,,
,2/5/2018,12/29/2017,0.27,,,0.27,,,,,,,,,,,,,
,10/30/2017,9/29/2017,0.59,,,0.59,,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.59,,,0.59,,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.48,,,0.48,,,,,,,,,,,,,
,,12/30/2016,0.36,,,0.36,,,,,,,,,,,,,
,,9/30/2016,0.62,,,0.62,,,,,,,,,,,,,
,,6/30/2016,0.54,,,0.54,,,,,,,,,,,,,
,,3/31/2016,0.34,,,0.34,,,,,,,,,,,,,
,,12/31/2015,0.3,,,0.3,,,,,,,,,,,,,
,,9/30/2015,0.44,,,0.44,,,,,,,,,,,,,
,,6/30/2015,0.43,,,0.43,,,,,,,,,,,,,
,,3/31/2015,0.2,,,0.2,,,,,,,,,,,,,
,,12/30/2014,0.21,,,0.21,,,,,,,,,,,,,
,,9/30/2014,0.42,,,0.42,,,,,,,,,,,,,
,,6/30/2014,0.42,,,0.42,,,,,,,,,,,,,
,,3/31/2014,0.25,,,0.25,,,,,,,,,,,,,
,,12/31/2013,0.16,,,0.16,,,,,,,,,,,,,
,,9/30/2013,0.41,,,0.41,,,,,,,,,,,,,
,,6/28/2013,0.38,,,0.38,,,,,,,,,,,,,
,,3/28/2013,0.1,,,0.1,,,,,,,,,,,,,
,,12/28/2012,0.12,,,0.12,,,,,,,,,,,,,
,,9/28/2012,0.27,,,0.27,,,,,,,,,,,,,
,,6/29/2012,0.33,,,0.33,,,,,,,,,,,,,
,,3/30/2012,0.15,,,0.15,,,,,,,,,,,,,
,,12/30/2011,0.1,,,0.1,,,,,,,,,,,,,
,,9/30/2011,0.4,,,0.4,,,,,,,,,,,,,
,,6/20/2011,0.39,,,0.39,,,,,,,,,,,,,
,,3/31/2011,0.14,,,0.14,,,,,,,,,,,,,
,,12/31/2010,-0.09,,,-0.09,,,,,,,,,,,,,
,,9/30/2010,0.35,,,0.35,,,,,,,,,,,,,
,,6/30/2010,0.14,,,0.14,,,,,,,,,,,,,
,,3/31/2010,0.19,,,0.19,,,,,,,,,,,,,
,,12/31/2009,-0.06,,,-0.06,,,,,,,,,,,,,
,,9/30/2009,0.26,,,0.26,,,,,,,,,,,,,
,,6/30/2009,0.22,,,0.22,,,,,,,,,,,,,
,,3/31/2009,-0.17,,,-0.17,,,,,,,,,,,,,
,,12/31/2008,0.04,,,0.04,,,,,,,,,,,,,
,,9/30/2008,0.48,,,0.48,,,,,,,,,,,,,
,,6/30/2008,0.42,,,0.42,,,,,,,,,,,,,
,,3/31/2008,0.17,,,0.17,,,,,,,,,,,,,
,,12/31/2007,0.01,,,0.01,,,,,,,,,,,,,
,,9/28/2007,0.46,,,0.46,,,,,,,,,,,,,
,,6/29/2007,0.58,,,0.58,,,,,,,,,,,,,
,,3/30/2007,0.35,,,0.35,,,,,,,,,,,,,
,,12/29/2006,0.38,,,0.38,,,,,,,,,,,,,
,,9/29/2006,0.56,,,0.56,,,,,,,,,,,,,
,,6/30/2006,0.64,,,0.64,,,,,,,,,,,,,
,,3/31/2006,0.51,,,0.51,,,,,,,,,,,,,
,,12/30/2005,0.44,,,0.44,,,,,,,,,,,,,
,,9/30/2005,0.65,,,0.65,,,,,,,,,,,,,
,,6/30/2005,0.6,,,0.6,,,,,,,,,,,,,
,,3/31/2005,0.33,,,0.33,,,,,,,,,,,,,
,,12/31/2004,0.36,,,0.36,,,,,,,,,,,,,
,,9/30/2004,0.5,,,0.5,,,,,,,,,,,,,
,,6/30/2004,0.45,,,0.45,,,,,,,,,,,,,
,,3/31/2004,0.37,,,0.37,,,,,,,,,,,,,
,,12/31/2003,0.27,,,0.27,,,,,,,,,,,,,
,,9/30/2003,0.37,,,0.37,,,,,,,,,,,,,
,,6/30/2003,0.36,,,0.36,,,,,,,,,,,,,
,,3/31/2003,0.22,,,0.22,,,,,,,,,,,,,
