CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,
N,,12/31/2022,,0.34,1/27/2022,0.35,1/4/2022,0.35,12/4/2021,0.34,10/30/2021,0.34,9/30/2021,0.34,9/1/2021,0.35,7/31/2021,0.35,6/28/2021,0.35,5/28/2021,0.36,4/30/2021,0.36,4/22/2021,,
,,9/30/2022,,0.34,,0.34,,0.34,,0.34,,0.34,,0.34,,0.34,,0.34,,0.34,,0.35,,0.35,,,
,,6/30/2022,,0.33,,0.33,,0.33,,0.33,,0.33,,0.33,,0.33,,0.33,,0.33,,0.34,,0.34,,,
,,3/31/2022,,0.31,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,,
,1/26/2022,12/31/2021,0.4,0.4,,0.32,,0.32,,0.31,,0.32,,0.32,,0.31,,0.32,,0.32,,0.31,,0.32,4/22/2021,0.32,4/20/2021
,10/27/2021,9/30/2021,0.28,0.28,,0.31,,0.31,,0.31,,0.32,,0.32,,0.31,,0.3,,0.3,,,,,,,
,7/28/2021,6/30/2021,0.34,0.34,,0.28,,0.28,,0.28,,0.27,,0.27,,,,,,,,,,,,,
,4/28/2021,3/31/2021,0.31,0.31,,0.28,,0.28,,,,,,,,,,,,,,,,,,,
,1/27/2021,12/31/2020,0.32,0.28,,0.32,,,,,,,,,,,,,,,,,,,,,
,10/28/2020,9/30/2020,0.27,0.27,,0.27,,,,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,0.18,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,
,4/29/2020,3/31/2020,0.17,0.17,,0.17,,,,,,,,,,,,,,,,,,,,,
,1/29/2020,12/31/2019,0.19,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,10/23/2019,9/30/2019,0.2,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,
,7/24/2019,6/28/2019,0.18,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,
,4/24/2019,3/29/2019,0.18,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,
,1/30/2018,12/31/2018,0.12,0.22,,0.12,,,,,,,,,,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.19,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,
,7/26/2018,6/29/2018,0.2,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.2,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,
,1/25/2018,12/29/2017,-0.02,,,-0.02,,,,,,,,,,,,,,,,,,,,,
,10/26/2017,9/29/2017,0.16,,,0.16,,,,,,,,,,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.16,,,0.16,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.11,,,0.11,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.11,,,0.11,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.07,,,0.07,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,
