Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
12/31/2020,1.78,3/9/2020,2.06,3/8/2020,2.06,,1.91,,1.81,,,,,,
9/30/2020,2.08,,2.22,,2.22,,2.12,,2.1,,,,,,
6/30/2020,1.93,,2.15,,2.15,,1.94,,1.87,,,,,,
3/31/2020,1.42,,1.66,,1.66,,1.56,,1.57,,,,,,
12/31/2019,0.81,,1.51,,1.51,,1.61,,1.64,,1.67,,1.58,,1.54
9/30/2019,1.47,,1.87,,1.87,,1.88,,1.96,,1.95,,1.93,,
7/1/2019,1.751737583,,1.62,,1.63,,1.66,,1.58,,1.51,,,,
3/29/2019,1.295151567,,1.34,,1.37,,1.38,,1.51,,,,,,
12/31/2018,1.409670292,,1.3,,1.37,,1.13,,0.98,,,,,,
9/28/2018,1.999065976,,1.75,,1.76,,1.52,,1.33,,,,,,
6/29/2018,1.59630921,,1.4,,1.28,,1.14,,,,,,,,
3/29/2018,1.242269359,,1.47,,1.24,,1.08,,,,,,,,
12/29/2017,0.276285495,,1.04,,0.86,,0.9,,0.98,,1,,1.09,,1.16
9/29/2017,1.417150666,,1.25,,1.26,,1.21,,1.2,,1.21,,1.28,,1.37
6/30/2017,1.055265187,,1.04,,1.01,,0.98,,0.99,,1,,1.15,,
3/31/2017,1.04707401,,0.77,,0.82,,0.83,,0.86,,0.85,,,,
12/30/2016,0.653687112,,0.89,,0.94,,1.04,,1.02,,1,,1.22,,
9/30/2016,1.14152652,,1.22,,1.23,,1.32,,1.35,,1.41,,1,,
6/30/2016,0.914458874,,1,,1.01,,1.03,,1.09,,0.72,,,,
3/31/2016,0.752498479,,0.73,,0.74,,0.83,,,,,,,,
12/31/2015,0.989913043,,0.91,,0.95,,0.9,,0.8,,,,,,
9/30/2015,1.283576896,,1.35,,1.15,,,,,,,,,,
6/30/2015,0.844494695,,1.18,,1.17,,1.22,,,,,,,,
3/31/2015,0.643494229,,0.77,,0.83,,0.86,,0.77,,0.72,,0.63,,
12/31/2014,0.995439797,,0.72,,0.71,,0.63,,0.66,,0.56,,0.94,,
9/30/2014,1.095117155,,0.89,,0.94,,1.02,,0.9,,1.07,,,,
6/30/2014,0.749022483,,1.05,,1.08,,1.05,,0.62,,,,,,
3/31/2014,0.589894051,,0.59,,0.68,,0.45,,,,,,,,
12/31/2013,0.491273854,,0.45,,0.48,,0.8,,,,,,,,
9/30/2013,0.92673154,,0.79,,0.76,,,,,,,,,,
6/28/2013,0.966147541,,nan,,0.54,,,,,,,,,,
3/28/2013,0.571640072,,0.62,,0.29,,,,,,,,,,
12/31/2012,0.347311828,,0.32,,0.84,,,,,,,,,,
9/28/2012,0.711264101,,0.8,,,,,,,,,,,,
6/29/2012,0.774921214,,0.79,,,,,,,,,,,,
3/30/2012,0.564147335,,nan,,,,,,,,,,,,
12/30/2011,0.620813497,,nan,,,,,,,,,,,,
9/30/2011,0.841717586,,nan,,,,,,,,,,,,
6/29/2011,0.744944008,,nan,,,,,,,,,,,,
3/30/2011,0.473038397,,nan,,,,,,,,,,,,
12/30/2010,0.345396398,,nan,,,,,,,,,,,,
9/29/2010,0.684528809,,nan,,,,,,,,,,,,
6/29/2010,0.409863659,,nan,,,,,,,,,,,,
3/30/2010,0.337446125,,nan,,,,,,,,,,,,
12/30/2009,0.698344574,,nan,,,,,,,,,,,,
9/29/2009,0.454392227,,nan,,,,,,,,,,,,
6/29/2009,0.299619467,,nan,,,,,,,,,,,,
3/30/2009,0.15487303,,nan,,,,,,,,,,,,
12/30/2008,-0.186030151,,nan,,,,,,,,,,,,
9/26/2008,0.44663992,,nan,,,,,,,,,,,,
6/26/2008,0.558903284,,nan,,,,,,,,,,,,
3/27/2008,0.285455095,,nan,,,,,,,,,,,,
12/28/2007,0.329649352,,nan,,,,,,,,,,,,
9/27/2007,0.422783795,,nan,,,,,,,,,,,,
6/28/2007,0.405039149,,nan,,,,,,,,,,,,
3/29/2007,0.083743842,,nan,,,,,,,,,,,,
12/28/2006,0.12,,nan,,,,,,,,,,,,
9/28/2006,0.31,,nan,,,,,,,,,,,,
6/29/2006,0.53,,nan,,,,,,,,,,,,
3/30/2006,0.2,,nan,,,,,,,,,,,,
12/29/2005,0.01,,nan,,,,,,,,,,,,
9/29/2005,0.44,,nan,,,,,,,,,,,,
6/29/2005,0.43,,nan,,,,,,,,,,,,
3/30/2005,0.26,,nan,,,,,,,,,,,,
12/31/2004,0.21,,nan,,,,,,,,,,,,
9/30/2004,0.43,,nan,,,,,,,,,,,,
6/30/2004,0.49,,nan,,,,,,,,,,,,
3/31/2004,0.23,,nan,,,,,,,,,,,,
12/31/2003,0.15,,nan,,,,,,,,,,,,
9/30/2003,0.27,,nan,,,,,,,,,,,,
6/30/2003,0.33,,nan,,,,,,,,,,,,
3/31/2003,0.07,,nan,,,,,,,,,,,,
12/31/2002,-0.05,,nan,,,,,,,,,,,,
9/30/2002,0.17,,nan,,,,,,,,,,,,
6/28/2002,0.28,,nan,,,,,,,,,,,,
3/28/2002,0.26,,nan,,,,,,,,,,,,
12/31/2001,0.07,,nan,,,,,,,,,,,,
9/28/2001,0.39,,nan,,,,,,,,,,,,
6/29/2001,0.36,,nan,,,,,,,,,,,,
3/30/2001,0.3,,nan,,,,,,,,,,,,
12/29/2000,0.03,,nan,,,,,,,,,,,,
9/29/2000,0.38,,nan,,,,,,,,,,,,
6/30/2000,0.42,,nan,,,,,,,,,,,,
3/31/2000,0.28,,nan,,,,,,,,,,,,
12/31/1999,0.08,,nan,,,,,,,,,,,,
9/30/1999,0.01,,nan,,,,,,,,,,,,
6/30/1999,0.37,,nan,,,,,,,,,,,,
3/31/1999,0.17,,nan,,,,,,,,,,,,
12/31/1998,-0.45,,nan,,,,,,,,,,,,
9/30/1998,0.21,,nan,,,,,,,,,,,,
6/30/1998,0.46,,nan,,,,,,,,,,,,
3/31/1998,0.2,,nan,,,,,,,,,,,,
12/31/1997,0.02,,nan,,,,,,,,,,,,
9/30/1997,0.51,,nan,,,,,,,,,,,,
6/30/1997,0.54,,nan,,,,,,,,,,,,
3/31/1997,0.34,,nan,,,,,,,,,,,,
12/31/1996,-0.21,,nan,,,,,,,,,,,,
9/30/1996,0.44,,nan,,,,,,,,,,,,
6/28/1996,0.44,,nan,,,,,,,,,,,,
3/29/1996,0.24,,nan,,,,,,,,,,,,
12/29/1995,0.21,,nan,,,,,,,,,,,,
9/29/1995,0.41,,nan,,,,,,,,,,,,
6/30/1995,0.46,,nan,,,,,,,,,,,,
