CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Diluted Adjusted,,12/31/2026,,2.9,1/11/2026,2.74,11/25/2025,2.61,10/24/2025,1.95,9/29/2025,1.93,8/27/2025,1.84,7/24/2025,1.63,6/9/2025,,,,,,,
,,9/30/2026,,3.23,,3.14,,3.18,,2.69,,2.68,,2.63,,2.54,,,,,,,,
,,6/30/2026,,2.95,,2.8,,2.77,,2.62,,2.61,,2.57,,2.51,,,,,,,,
,,3/30/2026,,2.54,,2.39,,2.34,,2.39,,2.38,,2.38,,2.45,,,,,,,,
,,12/31/2025,,2.13,1/2/2025,2.09,1/2/2025,2.02,1/2/2025,1.85,1/2/2025,1.86,1/2/2025,1.81,1/2/2025,1.61,1/2/2025,,,,,,,
,10/21/2025,9/30/2025,1.35,2.8,,2.31,,2.31,,2.33,,2.39,,,,,,,,,,,,
,7/22/2025,6/30/2025,1.91,2.53,,2.46,,2.47,,3.18,,,,,,,,,,,,,,
,4/29/2025,3/30/2025,3.35,2.78,,2.67,,2.65,,2.66,,,,,,,,,,,,,,
,1/28/2025,12/31/2024,-1.64,1.92,3/17/2024,1.75,3/17/2024,1.8,3/17/2024,1.88,3/17/2024,,,,,,,,,,,,,
,10/22/2024,9/30/2024,2.68,2.96,,2.42,,2.4,,2.4,,,,,,,,,,,,,,
,7/23/2024,6/30/2024,2.55,3.06,,2.7,,2.65,,2.61,,,,,,,,,,,,,,
,4/23/2024,3/30/2024,2.56,2.62,,2.04,,2.04,,2.04,,,,,,,,,,,,,,
,1/30/2024,12/31/2023,1.59,1.24,3/13/2023,1.12,3/13/2023,1.08,3/13/2023,1.11,3/13/2023,,,,,,,,,,,,,
,10/24/2023,9/30/2023,2.2,2.28,,1.92,,1.82,,1.85,,,,,,,,,,,,,,
,7/25/2023,6/30/2023,1.83,1.91,,1.82,,1.67,,1.67,,,,,,,,,,,,,,
,4/25/2023,3/30/2023,1.69,2.21,,1.65,,1.56,,1.54,,,,,,,,,,,,,,
,1/31/2023,12/31/2022,1.39,2.12,,1.68,,1.68,,1.69,,,,,,,,,,,,,,
,10/25/2022,9/30/2022,2.25,2.25,,1.9,,1.96,,1.96,,,,,,,,,,,,,,
,7/26/2022,6/30/2022,1.14,1.14,,1.48,,1.62,,1.59,,,,,,,,,,,,,,
,4/26/2022,3/31/2022,1.35,2.09,,1.7,,1.73,,1.73,,,,,,,,,,,,,,
,2/1/2022,12/31/2021,1.16,1.35,,1.07,,0.97,,1.07,,,,,,,,,,,,,,
,10/27/2021,9/30/2021,1.62,1.52,,0.69,,1,,1.19,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,1.9,1.97,,1.34,,0.56,,0.5,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,2.03,2.25,,0.98,,0.97,,1.32,,,,,,,,,,,,,,
,2/10/2021,12/31/2020,1.93,1.93,,1.81,,1.9,,1.85,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,2.78,2.83,,2.78,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,-0.56,-0.5,,-0.56,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.17,0.62,,0.17,,,,,,,,,,,,,,,,,,
,2/5/2020,12/31/2019,-0.16,0.05,,-1.6,,,,,,,,,,,,,,,,,,
,10/29/2019,9/30/2019,1.6,1.72,,1.6,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,1.66,1.64,,1.66,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,1.48,1.41,,1.48,,,,,,,,,,,,,,,,,,
,2/6/2019,12/31/2018,1.4,1.43,,1.4,,,,,,,,,,,,,,,,,,
,10/31/2018,9/28/2018,1.75,1.87,,1.75,,,,,,,,,,,,,,,,,,
,7/25/2018,6/29/2018,1.66,1.81,,1.66,,,,,,,,,,,,,,,,,,
,4/26/2018,3/29/2018,0.05,1.43,,0.05,,,,,,,,,,,,,,,,,,
,2/6/2018,12/29/2017,-3.46,,,-3.46,,,,,,,,,,,,,,,,,,
,10/24/2017,9/29/2017,0.08,,,0.08,,,,,,,,,,,,,,,,,,
,7/25/2017,6/30/2017,1.6,,,1.6,,,,,,,,,,,,,,,,,,
,,3/31/2017,1.75,,,1.75,,,,,,,,,,,,,,,,,,
,,12/30/2016,1.27,,,1.27,,,,,,,,,,,,,,,,,,
,,9/30/2016,1.76,,,1.76,,,,,,,,,,,,,,,,,,
,,6/30/2016,1.74,,,1.74,,,,,,,,,,,,,,,,,,
,,3/31/2016,1.23,,,1.23,,,,,,,,,,,,,,,,,,
,,12/31/2015,3.92,,,3.92,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.84,,,0.84,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.67,,,0.67,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.56,,,0.56,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.66,,,0.66,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.81,,,0.81,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.11,,,0.11,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.06,,,0.06,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.57,,,0.57,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.45,,,0.45,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.75,,,0.75,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.58,,,0.58,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.54,,,0.54,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.89,,,0.89,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.9,,,0.9,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.6,,,0.6,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.28,,,0.28,,,,,,,,,,,,,,,,,,
,,9/30/2011,1.03,,,1.03,,,,,,,,,,,,,,,,,,
,,6/20/2011,1.54,,,1.54,,,,,,,,,,,,,,,,,,
,,3/31/2011,1.77,,,1.77,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.31,,,0.31,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.2,,,1.2,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.85,,,0.85,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.55,,,0.55,,,,,,,,,,,,,,,,,,
