CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,1.36,10/12/2022,1.36,9/10/2022,1.36,8/7/2022,1.35,7/11/2022,1.35,6/10/2022,1.35,5/8/2022,1.35,4/20/2022,,3/18/2022,1.29,2/16/2022,1.21,1/12/2022,1.21,12/8/2021,1.19,11/3/2021,1.23,10/14/2021,1.23,9/11/2021,1.22,8/7/2021,1.18,7/9/2021,1.18,6/3/2021,1.17,5/6/2021,1.17,4/20/2021,1.08,3/19/2021,1.05,2/18/2021,1.03,2/16/2021,0.99
,,9/30/2023,,1.28,,1.28,,1.28,,1.29,,1.29,,1.29,,1.29,,,,1.21,,1.22,,1.22,,1.19,,1.09,,1.1,,1.1,,1.05,,1.05,,1.03,,1.03,,0.93,,0.93,,0.93,,0.82
,,6/30/2023,,1.21,,1.21,,1.21,,1.26,,1.26,,1.25,,1.25,,,,1.13,,1.1,,1.11,,1.11,,1.13,,1.13,,1.13,,1.06,,1.06,,1.01,,1.01,,0.88,,0.87,,0.82,,0.68
,,3/30/2023,,1.28,,1.28,,1.27,,1.3,,1.3,,1.3,,1.3,,,,1.14,,1.09,,1.09,,1.08,,1.09,,1.09,,1.1,,1.09,,1.09,,1.06,,1.06,,0.84,,0.85,,0.84,,0.79
,,12/31/2022,,1.25,,1.25,,1.24,,1.31,,1.28,,1.28,,1.31,,1.31,,1.29,2/16/2022,1.21,1/12/2022,1.21,12/8/2021,1.19,11/3/2021,1.23,10/14/2021,1.23,9/11/2021,1.22,8/7/2021,1.18,7/9/2021,1.18,6/3/2021,1.17,5/6/2021,1.17,4/20/2021,1.08,3/19/2021,1.05,2/18/2021,1.03,2/16/2021,0.99
,,9/30/2022,,1.14,,1.14,,1.14,,1.19,,1.16,,1.16,,1.21,,1.21,,1.21,,1.22,,1.22,,1.19,,1.09,,1.1,,1.1,,1.05,,1.05,,1.03,,1.03,,0.93,,0.93,,0.93,,0.82
,8/2/2022,6/30/2022,1.16,1.16,,1.16,,1.13,,1.14,,1.16,,1.16,,1.13,,1.1,,1.11,,1.11,,1.13,,1.13,,1.13,,1.06,,1.06,,1.01,,1.01,,0.88,,0.87,,0.82,,0.68,,,,
,5/3/2022,3/31/2022,1.3,1.3,,1.19,,1.19,,1.14,,1.09,,1.09,,1.08,,1.09,,1.09,,1.1,,1.09,,1.09,,1.06,,1.06,,0.84,,0.85,,0.84,,0.79,,,,,,,,,,
,2/15/2022,12/31/2021,1.05,1.07,,0.91,,0.91,,0.92,,1.03,,1.03,,1.03,,1.01,,1.01,,1.04,,1.08,4/20/2021,1.08,3/19/2021,1.05,2/18/2021,1.03,2/16/2021,0.99,,,,,,,,,,,,,,,,
,11/2/2021,9/30/2021,1.15,1.1,,0.93,,0.93,,0.94,,0.92,,0.91,,0.91,,0.93,,0.93,,0.93,,0.93,,0.82,,,,,,,,,,,,,,,,,,,,,,
