CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/9/2022,9/30/2022,0.03,0.26,,0.22,,0.23,,0.22,,0.22,,0.23,,0.22,,0.23,,0.23,,0.22,,0.23,,0.23,,0.2,,0.19,,0.19,,0.18,,0.17,,1.71,,1.56,,1.56,,1.24,,1.29,,1.18,,1.15,,0.97,,0.98,,0.98,,0.9,,0.9,,0.92,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/9/2022,6/30/2022,-0.04,0.2,,0.2,,0.2,,0.19,,0.19,,0.19,,0.21,,0.21,,0.21,,0.21,,0.2,,0.2,,0.13,,0.11,,1.07,,1.21,,1.21,,1.08,,1.01,,0.98,,0.97,,0.91,,0.93,,0.93,,0.84,,0.86,,1.01,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2022,3/31/2022,-0.03,0.21,,0.15,,0.15,,0.13,,0.12,,0.12,,0.12,,0.11,,0.11,,0.11,,0.11,,1.09,,1.01,,1.01,,0.75,,0.69,,0.64,,0.61,,0.54,,0.55,,0.55,,0.6,,0.59,,0.51,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/16/2022,12/31/2021,0.02,0.42,,0.27,,0.28,,0.25,,0.24,,0.24,,0.24,,0.23,,2.33,,2.27,,2.28,4/21/2021,2.23,3/19/2021,2.24,2/19/2021,2.09,1/10/2021,2.05,12/9/2020,1.86,11/8/2020,1.85,10/15/2020,1.85,9/13/2020,1.99,8/6/2020,2.04,6/23/2020,1.68,5/10/2020,1.68,3/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/8/2021,9/30/2021,0.12,0.18,,0.15,,0.15,,0.14,,0.13,,1.25,,1.25,,1.25,,1.24,,1.29,,1.18,,1.15,,0.97,,0.98,,0.98,,0.9,,0.9,,0.92,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/9/2021,6/30/2021,0.1,0.18,,0.13,,1.28,,1.08,,1.07,,1.08,,1.01,,0.98,,0.97,,0.91,,0.93,,0.93,,0.84,,0.86,,1.01,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2021,3/31/2021,0.5,1.4,,0.77,,0.75,,0.69,,0.64,,0.61,,0.54,,0.55,,0.55,,0.6,,0.59,,0.51,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/18/2021,12/31/2020,3.05,3.7,,1.87,,1.87,,1.05,,1.04,3/27/2020,1.04,3/27/2020,1.22,3/27/2020,1.27,3/27/2020,1.32,3/27/2020,1.42,3/27/2020,1.6,2/27/2020,1.6,1/26/2020,1.6,1/13/2020,1.59,9/28/2019,1.43,,1.43,,1.48,,1.397647059,1.350980392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.84,1.3,,0.42,,0.42,,0.33,,0.36,,0.64,,0.8,,0.9,,0.9,,0.9,,0.92,,0.89,,0.89,,0.65,,0.86,0.789411765,0.751960784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.52,0.9,,0.19,,0.68,,0.94,,1.06,,1.06,,1.06,,1.06,,0.96,,0.96,,0.9,,0.93,0.789411765,0.764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
