CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,
N,,12/31/2021,1.1,1/19/2021,1.09,1/9/2021,1.09,12/9/2020,0.87,11/8/2020,0.85,10/27/2020,0.9,10/22/2020,0.76,,,,,,,,,,
,,9/30/2021,0.8,,0.79,,0.78,,0.72,,0.69,,0.72,,0.64,,,,,,,,,,
,,6/30/2021,0.74,,0.69,,0.69,,0.69,,0.69,,0.63,,0.59,,,,,,,,,,
,,3/31/2021,0.75,,0.66,,0.66,,0.68,,0.65,,0.67,,0.63,,,,,,,,,,
,,12/31/2020,0.62,,0.59,,0.57,,0.37,,0.36,,0.3,,0.54,,0.76,,0.89,,0.76,,1.19,,1.437850467
,11/6/2020,9/30/2020,-1.84,,-0.31,,-0.18,,0.51,,0.57,,0.65,,0.64,,1.03,,1.031869159,,,,,,
,8/6/2020,6/30/2020,0.812706271,,0.6,,0.4,,0.55,,0.61,,0.59,,0.87,,0.727383178,,,,,,,,
,4/30/2020,3/31/2020,1.251668892,,0.5,,0.58,,0.73,,1.1,,0.541308411,,,,,,,,,,,,
,2/25/2020,12/31/2019,3.132088059,,0.47,,0.61,,0.85,,1.16,,1.08,,,,,,,,,,,,
,11/1/2019,9/30/2019,-1.2421875,,0.06,,0.18,,0.48,,0.61,,0.87,,1.58,,0.54,,,,,,,,
,8/8/2019,6/28/2019,-0.442890443,,0.21,,0.23,,0.43,,0.6,,1.04,,0.34,,,,,,,,,,
,5/9/2019,3/29/2019,0.545454545,,0.27,,0.32,,0.4,,0.85,,0.55,,,,,,,,,,,,
,2/26/2019,12/31/2018,0.259689922,,0.27,,0.31,,0.74,,0.3,,0.23,,,,,,,,,,,,
,11/8/2018,9/28/2018,0.259792166,,0.21,,0.22,,0.19,,,,,,,,,,,,,,,,
,8/9/2018,6/29/2018,-0.074135091,,0.25,,0.24,,0.22,,,,,,,,,,,,,,,,
,5/4/2018,3/29/2018,1.5,,0.56,,0.55,,0.33,,0.46,,,,,,,,,,,,,,
,2/21/2018,12/29/2017,0.540195661,,0.46,,0.44,,0.25,,0.04,,0.71,,,,,,,,,,,,
,11/9/2017,9/29/2017,-1.242476354,,-0.19,,0.01,,-0.04,,0.38,,,,,,,,,,,,,,
,8/8/2017,6/30/2017,-1.225806452,,0.02,,-0.14,,-0.11,,0.03,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.232058444,,-0.17,,-0.26,,-0.18,,0.02,,,,,,,,,,,,,,
,,12/30/2016,0.480875822,,-0.3,,-0.29,,-0.1,,-0.02,,0.28,,0.04,,0.05,,0,,-0.23,,,,
,,9/30/2016,-0.438756967,,-0.23,,-0.25,,-0.19,,0.08,,-0.18,,-0.17,,-0.12,,-0.46,,,,,,
,,6/30/2016,-1.306999295,,-0.46,,-0.42,,-0.54,,-0.44,,-0.43,,-0.3,,-0.43,,,,,,,,
,,3/31/2016,-1.406333009,,-0.43,,-0.54,,-0.44,,-0.42,,-0.41,,-0.31,,-0.54,,,,,,,,
