CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Non-GAAP,,12/31/2026,,3,11/8/2025,2.96,9/17/2025,2.94,8/13/2025,2.89,7/23/2025,2.87,6/23/2025,,,
,,9/30/2026,,3.07,,2.91,,2.91,,2.88,,2.89,,,,
,,6/30/2026,,3.05,,2.99,,3.01,,2.83,,2.83,,,,
,,3/30/2026,,2.99,,2.91,,2.92,,2.85,,2.83,,,,
,,12/31/2025,,2.6,1/19/2025,2.68,1/19/2025,2.67,1/19/2025,2.65,1/19/2025,2.63,1/19/2025,,,
,11/4/2025,9/30/2025,2.82,3.05,,2.69,,2.68,,2.66,,2.67,,,,
,8/5/2025,6/30/2025,3.01,3.21,,2.65,,2.64,,2.63,,,,,,
,5/6/2025,3/30/2025,2.77,2.97,,2.5,,2.49,,2.5,,,,,,
,2/11/2025,12/31/2024,2.12,2.37,4/9/2024,2.27,4/9/2024,2.26,4/9/2024,2.22,4/9/2024,,,,,
,10/29/2024,9/30/2024,2.68,2.93,,2.02,,2.01,,2.13,,,,,,
,7/30/2024,6/30/2024,2.37,2.63,,2.27,,2.15,,1.91,,,,,,
,4/30/2024,3/30/2024,2.07,2.29,,1.7,,1.7,,1.76,,,,,,
,2/13/2024,12/31/2023,1.66,1.99,3/25/2023,1.74,3/25/2023,1.73,3/25/2023,1.74,3/25/2023,,,,,
,10/31/2023,9/30/2023,-2.91,2.03,,1.67,,1.67,,1.7,,,,,,
,8/1/2023,6/30/2023,1.5,1.8,,1.59,,1.62,,1.66,,,,,,
,5/2/2023,3/30/2023,1.17,1.47,,1.59,,1.6,,1.65,,,,,,
,2/14/2023,12/31/2022,1.28,1.83,,1.61,,1.62,,1.63,,,,,,
,11/1/2022,9/30/2022,1.17,1.58,,1.57,,1.57,,1.59,,,,,,
,8/2/2022,6/30/2022,1.24,1.59,,1.56,,1.56,,1.58,,,,,,
,5/3/2022,3/31/2022,1.25,1.58,,1.52,,1.51,,1.57,,,,,,
,2/15/2022,12/31/2021,1.23,1.56,,1.62,,1.64,,1.65,,,,,,
,11/2/2021,9/30/2021,1.43,1.8,,1.62,,1.62,,1.62,,,,,,
,8/3/2021,6/30/2021,1.18,1.52,,1.58,,1.58,,1.57,,,,,,
,5/4/2021,3/31/2021,1.42,1.73,,1.48,,1.46,,1.47,,,,,,
,2/23/2021,12/31/2020,1.37,1.63,,1.62,,1.6,,1.49,3/23/2020,,,,,
,11/2/2020,9/30/2020,1.13,1.47,,1.24,,1.25,,1.36,,,,,,
,8/4/2020,6/30/2020,1.06,1.55,,1.09,,1.17,,1.36,,,,,,
,5/5/2020,3/31/2020,0.8,1.19,,1.24,,1.23,,1.24,,,,,,
,2/18/2020,12/31/2019,1.26,1.51,,1.35,,1.35,,1.23,,,,,,
,10/29/2019,9/27/2019,1.110344828,1.36,,1.19,,1.2,,1.23,1.2,,,,,
,7/30/2019,6/28/2019,0.931506849,1.16,,1.11,,1.18,,1.2,,,,,,
,4/30/2019,3/29/2019,1.285714286,1.13,,1,,1.04,,1.14,,,,,,
,2/19/2019,12/31/2018,1.253333333,1.1,,1.07,,1.16,,0.92,,,,,,
,10/25/2018,9/28/2018,0.960784314,1.14,,1.11,,1.13,,0.94,,,,,,
,7/26/2018,6/29/2018,0.935064935,1.12,,1.06,,0.9,,,,,,,,
,5/3/2018,3/29/2018,0.662337662,1.03,,1.03,,0.89,,,,,,,,
,2/22/2018,12/29/2017,0.74025974,,,0.85,,0.82,,0.86,0.85,,,,,
,11/2/2017,9/29/2017,0.532467532,,,0.82,,0.81,,0.84,0.82,,,,,
,8/3/2017,6/30/2017,0.640522876,,,0.8,,0.79,,0.78,,,,,,
,5/4/2017,3/31/2017,0.470588235,,,0.79,,0.78,,0.74,,,,,,
,,12/30/2016,0.385620915,,,0.83,,0.59,,0.82,0.78,,,,,
,,9/30/2016,0.798245614,,,0.83,,0.96,,,,,,,,
,,7/1/2016,0.554054054,,,0.73,,0.66,,,,,,,,
,,4/1/2016,0.662162162,,,0.68,,,,,,,,,,
,,12/31/2015,1.716216216,,,0.48,,,,,,,,,,
,,10/2/2015,0.671232877,,,0.52,,,,,,,,,,
,,7/2/2015,0.5,,,0.62,,,,,,,,,,
,,4/2/2015,0.546666667,,,0.54,,,,,,,,,,
,,1/30/2015,0.586666667,,,0.45,,,,,,,,,,
,,10/31/2014,0.459459459,,,0.14,,,,,,,,,,
,,8/1/2014,-6.08,,,0.87,,,,,,,,,,
,,5/2/2014,0.47,,,1.02,,,,,,,,,,
