Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,
,12/31/2020,0.99,3/27/2020,1.04,2/27/2020,1.06,1/26/2020,1.06,1/14/2020,1.07,11/21/2019,1.12,9/7/2019,1.18,,1.18,,1.2,,1.21,1.269437653
,9/30/2020,1.06,,1.08,,1.08,,1.08,,1.09,,1.13,,1.19,,1.19,,1.21,,1.23,1.234816626
,6/30/2020,1.04,,1.05,,1.06,,1.06,,1.07,,1.1,,1.16,,1.16,,1.19,,1.119413203,
,3/31/2020,0.94,,0.97,,1,,1,,1,,1.01,,1.08,,1.08,,1.12,,1.11,1.073251834
1/23/2020,12/31/2019,0.88,,0.96,,0.96,,0.98,,1.02,,1.02,,1.06,,1.07,1.1,1.11,1.12,1.13,
10/18/2019,9/30/2019,0.31,,0.96,,0.99,,0.99,,1.02,,1.03,1.07,1.1,1.11,,,,,,
7/26/2019,6/28/2019,0.821837783,,0.96,,0.95,,0.98,,0.97,1,1.06,1.07,,,,,,,,
4/23/2019,3/29/2019,0.840878624,,0.93,,0.94,,0.96,,0.98,0.97,,,,,,,,,,
1/25/2019,12/31/2018,0.914751528,,0.92,,0.93,,0.96,,0.98,0.97,0.95,0.99,0.96,0.84,0.85,0.87,0.86,,,
10/19/2018,9/28/2018,0.9,,0.9,,0.91,,0.94,,0.92,0.95,0.94,0.83,0.84,0.86,0.85,,,,,
7/27/2018,6/29/2018,0.236391778,,0.83,,0.85,,0.83,,0.77,0.78,0.8,,,,,,,,,
4/20/2018,3/29/2018,0.696827282,,0.73,,0.75,,0.74,,0.69,0.7,0.72,,,,,,,,,
1/26/2018,12/29/2017,0.243633997,,0.63,,0.66,,0.67,,0.68,0.69,0.72,,,,,,,,,
10/19/2017,9/29/2017,0.536792766,,0.65,,0.67,,0.69,,0.71,,,,,,,,,,,
7/21/2017,6/30/2017,0.615828261,,0.64,,0.66,,,,,,,,,,,,,,,
4/21/2017,3/31/2017,0.586927279,,0.58,,0.59,,0.6,,,,,,,,,,,,,
1/20/2017,12/30/2016,0.515030799,,0.51,,,,,,,,,,,,,,,,,
10/17/2016,9/30/2016,0.612506318,,0.59,,,,,,,,,,,,,,,,,
7/22/2016,6/30/2016,0.570330345,,0.53,,,,,,,,,,,,,,,,,
4/22/2016,3/31/2016,0.37263769,,0.47,,,,,,,,,,,,,,,,,
,12/31/2015,0.434055248,,0.51,,,,,,,,,,,,,,,,,
,9/30/2015,0.48,,0.48,,,,,,,,,,,,,,,,,
,6/30/2015,0.04,,0.39,,,,,,,,,,,,,,,,,
,3/31/2015,0.32,,0.39,,,,,,,,,,,,,,,,,
,12/31/2014,0.39,,0.44,,,,,,,,,,,,,,,,,
,9/30/2014,0.43,,0.44,,,,,,,,,,,,,,,,,
,6/30/2014,0.32,,0.4,,,,,,,,,,,,,,,,,
,3/31/2014,0.32,,0.33,,,,,,,,,,,,,,,,,
,12/31/2013,0.04,,0.28,,,,,,,,,,,,,,,,,
,9/30/2013,0.26,,0.25,,,,,,,,,,,,,,,,,
,6/28/2013,0.26,,0.26,,,,,,,,,,,,,,,,,
,3/28/2013,0.2,,0.19,,,,,,,,,,,,,,,,,
,12/31/2012,0.15,,,,,,,,,,,,,,,,,,,
,9/28/2012,0.04,,,,,,,,,,,,,,,,,,,
,6/29/2012,0.07,,,,,,,,,,,,,,,,,,,
,3/30/2012,0.19,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.01,,,,,,,,,,,,,,,,,,,
,9/30/2011,0.66,,,,,,,,,,,,,,,,,,,
,6/30/2011,0.06,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.02,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.04,,,,,,,,,,,,,,,,,,,
,9/30/2010,-0.07,,,,,,,,,,,,,,,,,,,
,6/30/2010,-0.2,,,,,,,,,,,,,,,,,,,
,3/31/2010,-0.17,,,,,,,,,,,,,,,,,,,
,12/31/2009,-2.84,,,,,,,,,,,,,,,,,,,
,9/30/2009,-0.07,,,,,,,,,,,,,,,,,,,
,6/30/2009,-0.25,,,,,,,,,,,,,,,,,,,
,3/31/2009,-0.1,,,,,,,,,,,,,,,,,,,
,12/31/2008,-0.79,,,,,,,,,,,,,,,,,,,
,9/30/2008,0.05,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.23,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.22,,,,,,,,,,,,,,,,,,,
,12/31/2007,0.09,,,,,,,,,,,,,,,,,,,
,9/28/2007,0.26,,,,,,,,,,,,,,,,,,,
,6/29/2007,0.39,,,,,,,,,,,,,,,,,,,
,3/30/2007,0.37,,,,,,,,,,,,,,,,,,,
,12/29/2006,0.43,,,,,,,,,,,,,,,,,,,
,9/29/2006,0.45,,,,,,,,,,,,,,,,,,,
,6/30/2006,0.4,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.39,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.22,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.33,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.29,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.3,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.32,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.26,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.26,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.27,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.3,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.241666667,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.241666667,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.233333333,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.233333333,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.216666667,,,,,,,,,,,,,,,,,,,
,6/28/2002,0.241666667,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.183333333,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.208333333,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.225,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.208333333,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.225,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.291666667,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.233333333,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.241666667,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.233333333,,,,,,,,,,,,,,,,,,,
,12/31/1999,0.241666667,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.208333333,,,,,,,,,,,,,,,,,,,
,6/30/1999,0.2,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.208333333,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.340277778,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.145833333,,,,,,,,,,,,,,,,,,,
,6/30/1998,0.152777778,,,,,,,,,,,,,,,,,,,
,3/31/1998,0.020833333,,,,,,,,,,,,,,,,,,,
,12/31/1997,0.194444444,,,,,,,,,,,,,,,,,,,
