CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,
Mostly,,12/31/2026,,0.8,10/25/2025,0.8,10/6/2025,0.8,8/29/2025,0.79,7/25/2025,0.78,7/11/2025
,,9/30/2026,,0.93,,0.93,,0.93,,0.93,,0.92,
,,6/30/2026,,0.87,,0.87,,0.87,,0.88,,0.89,
,,3/30/2026,,0.72,,0.71,,0.71,,0.71,,0.71,
,,12/31/2025,,0.72,1/11/2025,0.71,1/11/2025,0.71,1/11/2025,0.7,1/11/2025,0.69,1/11/2025
,10/25/2025,9/30/2025,0.85,0.85,,0.83,,0.83,,0.82,,0.82,
,7/23/2025,6/30/2025,0.78,0.78,,0.78,,11.72,,11.7,,,
,4/23/2025,3/30/2025,9.35,9.35,,9.88,,9.95,,9.96,,,
,2/5/2025,12/31/2024,9.5,9.5,4/4/2024,9.73,4/4/2024,9.73,4/4/2024,9.77,4/4/2024,,
,10/23/2024,9/30/2024,11.41,11.41,,11.61,,11.63,,11.86,,,
,7/24/2024,6/30/2024,10.55,10.55,,11.13,,11.15,,11.19,,,
,4/24/2024,3/30/2024,9.2,9.2,,9.23,,9.28,,9.35,,,
,2/7/2024,12/31/2023,9.26,9.26,3/23/2023,9.08,3/23/2023,9.06,3/23/2023,9.08,3/23/2023,,
,10/25/2023,9/30/2023,10.72,10.73,,10.32,,10.31,,10.2,,,
,7/26/2023,6/30/2023,10.22,10.22,,10,,9.98,,9.87,,,
,4/26/2023,3/30/2023,8.28,8.28,,8.01,,8.13,,8.22,,,
,2/8/2023,12/31/2022,8.37,8.37,,7.75,,7.73,,7.69,,,
,10/26/2022,9/30/2022,9.17,9.17,,8.47,,8.47,,8.71,,,
,7/27/2022,6/30/2022,8.78,8.78,,9,,8.99,,9.07,,,
,4/27/2022,3/31/2022,7.17,7.17,,7.43,,7.42,,6.83,,,
,2/9/2022,12/31/2021,7.64,7.64,,5.94,,5.94,,5.63,,,
,10/27/2021,9/30/2021,8.07,8.07,,6.97,,6.97,,6.67,,,
,7/28/2021,6/30/2021,8.33,7.06,,7.03,,6.86,,6.78,,,
,4/28/2021,3/31/2021,7.06,5.4,,5.29,,5.24,,4.97,,,
,2/10/2021,12/31/2020,5.4,7.07,,5.08,,5.04,,4.64,4/10/2020,,
,10/28/2020,9/30/2020,7.07,3.97,,6.1,,5.96,,5.17,,,
,7/29/2020,6/30/2020,7.1,4.25,,3.93,,3.02,,3.56,,,
,4/22/2020,3/31/2020,3.97,5.08,,4.06,,4.42,,4.49,,,
,2/5/2020,12/31/2019,4.25,4.51,,4.27,,4.28,,4.18,,,
,10/23/2019,9/30/2019,5.08,4.05,,4.79,,4.81,,4.81,,,
,7/24/2019,6/28/2019,4.510546855,3.72,,4.67,,4.68,,4.69,,,
,4/24/2019,3/29/2019,4.049989281,4.5,,4.05,,4.07,,4.05,,,
,2/6/2019,12/31/2018,3.724849943,4.28,,3.75,,3.74,,3.7,,,
,10/24/2018,9/28/2018,4.497617,3.61,,4.31,,4.29,,4.2,,,
,7/25/2018,6/29/2018,4.277806048,,,4.06,,4.04,,3.34,,,
,4/25/2018,3/29/2018,3.607373141,,,3.58,,3.01,,2.98,,,
,2/7/2018,12/29/2017,3.52151477,,,2.77,,2.8,,2.85,,,
,10/25/2017,9/29/2017,3.22333428,,,3.15,,3.16,,3.19,,,
,7/26/2017,6/30/2017,3.097744773,,,2.89,,3.14,,3.15,,,
,4/26/2017,3/31/2017,2.83367025,,,2.88,,2.89,,2.92,,,
,2/7/2017,12/30/2016,2.590798522,,,2.54,,2.55,,2.56,,,
,10/26/2016,9/30/2016,2.897347066,,,2.92,,2.93,,2.92,,,
,7/27/2016,6/30/2016,2.649966078,,,2.68,,2.77,,2.76,,,
,4/27/2016,3/31/2016,2.591655926,,,2.5,,2.48,,2.38,,,
,,12/31/2015,2.187181668,,,2.1,,2.08,,2.06,,,
,,9/30/2015,2.642334028,,,2.38,,2.34,,2.3,,,
,,6/30/2015,2.286850327,,,2.26,,2.25,,2.21,,,
,,3/31/2015,2.061497041,,,1.94,,1.93,,1.88,,,
,,12/31/2014,1.758230911,,,1.68,,1.67,,1.66,,,
,,9/30/2014,2.062277851,,,1.95,,1.96,,1.94,,,
,,6/30/2014,1.911999331,,,1.85,,1.84,,1.78,,,
,,3/31/2014,1.608772092,,,1.58,,1.54,,1.55,,,
,,12/31/2013,1.401046552,,,1.32,,1.34,,1.33,,,
,,9/30/2013,1.692385179,,,1.64,,1.65,,1.64,,,
,,6/28/2013,1.580376342,,,1.5,,1.49,,1.47,,,
,,3/28/2013,1.360973932,,,1.35,,1.34,,1.32,,,
,,12/28/2012,1.141813117,,,1.08,,1.27,,,,,
,,9/28/2012,1.321829449,,,1.27,,,,,,,
,,6/29/2012,1.14885052,,,1.14,,,,,,,
,,3/30/2012,1.140457909,,,1.04,,,,,,,
,,12/30/2011,0.943123346,,,,,,,,,,
,,9/29/2011,1.099279435,,,,,,,,,,
,,6/30/2011,0.957456555,,,,,,,,,,
,,3/30/2011,0.717273529,,,,,,,,,,
,,12/31/2010,0.74,,,,,,,,,,
,,9/30/2010,0.82,,,,,,,,,,
,,6/30/2010,0.71,,,,,,,,,,
,,3/31/2010,0.7,,,,,,,,,,
,,12/31/2009,0.52,,,,,,,,,,
,,9/30/2009,0.63,,,,,,,,,,
,,6/30/2009,0.62,,,,,,,,,,
,,3/31/2009,0.46,,,,,,,,,,
,,12/31/2008,0.32,,,,,,,,,,
,,9/30/2008,0.31,,,,,,,,,,
,,6/30/2008,0.48,,,,,,,,,,
,,3/31/2008,0.4,,,,,,,,,,
,,12/31/2007,0.35,,,,,,,,,,
,,9/28/2007,0.46,,,,,,,,,,
,,6/29/2007,0.45,,,,,,,,,,
,,3/30/2007,0.42,,,,,,,,,,
,,12/29/2006,0.35,,,,,,,,,,
,,9/29/2006,0.42,,,,,,,,,,
,,6/30/2006,0.43,,,,,,,,,,
,,3/31/2006,0.35,,,,,,,,,,
,,12/30/2005,0.35,,,,,,,,,,
,,9/30/2005,0.42,,,,,,,,,,
,,6/30/2005,0.38,,,,,,,,,,
,,3/31/2005,0.3,,,,,,,,,,
,,12/31/2004,0.42,,,,,,,,,,
,,9/30/2004,0.3,,,,,,,,,,
,,6/30/2004,0.295,,,,,,,,,,
,,3/31/2004,0.245,,,,,,,,,,
,,12/31/2003,0.225,,,,,,,,,,
,,9/30/2003,0.27,,,,,,,,,,
,,6/30/2003,0.25,,,,,,,,,,
,,3/31/2003,0.185,,,,,,,,,,
,,12/31/2002,0.175,,,,,,,,,,
,,9/30/2002,0.225,,,,,,,,,,
,,6/28/2002,0.21,,,,,,,,,,
,,3/28/2002,0.155,,,,,,,,,,
,,12/31/2001,0.155,,,,,,,,,,
,,9/28/2001,0.19,,,,,,,,,,
,,6/29/2001,0.17,,,,,,,,,,
,,3/30/2001,0.12,,,,,,,,,,
,,12/29/2000,0.09,,,,,,,,,,
,,9/29/2000,0.16,,,,,,,,,,
,,6/30/2000,0.14,,,,,,,,,,
,,3/31/2000,0.115,,,,,,,,,,
,,12/31/1999,0.13,,,,,,,,,,
,,9/30/1999,0.13,,,,,,,,,,
,,6/30/1999,0.115,,,,,,,,,,
,,3/31/1999,0.0975,,,,,,,,,,
,,12/31/1998,0.1075,,,,,,,,,,
,,9/30/1998,0.095,,,,,,,,,,
,,6/30/1998,0.0875,,,,,,,,,,
