CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,
Adjusted,,8/30/2027,,1.59,10/19/2025,1.43,9/30/2025,1.28,8/28/2025,1.31,7/25/2025,,,,,,,,,,,,,,,,,
,,5/30/2027,,1.31,,1.41,,1.34,,1.48,,,,,,,,,,,,,,,,,,
,,2/28/2027,,1,,0.94,,0.82,,0.73,,,,,,,,,,,,,,,,,,
,,11/30/2026,,1.37,,1.22,,1.13,,0.96,,,,,,,,,,,,,,,,,,
,,8/30/2026,,1.59,9/30/2025,1.43,9/30/2025,1.28,8/28/2025,1.31,7/25/2025,,,,,,,,,,,,,,,,,
,,5/30/2026,,1.56,,1.41,,1.34,,1.48,,,,,,,,,,,,,,,,,,
,,2/28/2026,,1.12,,0.94,,0.82,,0.73,,,,,,,,,,,,,,,,,,
,,11/30/2025,,1.49,,1.22,,1.13,,0.96,,,,,,,,,,,,,,,,,,
,10/16/2025,8/30/2025,1.35,1.37,11/23/2024,1.37,11/23/2024,1.36,11/23/2024,1.36,11/23/2024,,,,,,,,,,,,,,,,,
,6/23/2025,5/30/2025,0.73,0.74,,0.84,,0.84,,0.9,,,,,,,,,,,,,,,,,,
,3/20/2025,2/28/2025,0.22,0.26,,0.38,,0.45,,0.64,,,,,,,,,,,,,,,,,,
,1/5/2025,11/30/2024,-1.54,0.78,,0.81,,0.83,,0.88,,,,,,,,,,,,,,,,,,
,10/17/2024,8/30/2024,0.9,0.9,1/3/2024,0.98,1/3/2024,1.1,1/3/2024,1.2,1/3/2024,,,,,,,,,,,,,,,,,
,6/20/2024,5/30/2024,1.02,1.02,,1.19,,1.23,,1.25,,,,,,,,,,,,,,,,,,
,3/21/2024,2/28/2024,0.73,0.88,,0.77,,0.86,,0.91,,,,,,,,,,,,,,,,,,
,1/8/2024,11/30/2023,1.49,1.63,,1.42,,1.4,,1.5,,,,,,,,,,,,,,,,,,
,10/12/2023,8/30/2023,1.56,1.69,,1.93,,2.02,,1.8,,,,,,,,,,,,,,,,,,
,6/22/2023,5/30/2023,1.98,2.02,,1.72,,1.8,,1.63,,,,,,,,,,,,,,,,,,
