CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,6/30/2024,,1.58,11/2/2022,1.35,10/6/2022,,9/3/2022,1.34,8/17/2022,1.35,7/11/2022,1.35,6/10/2022,1.35,5/8/2022,1.39,4/11/2022,1.39,3/10/2022,1.39,2/2/2022,1.43,1/11/2022,1.44,12/8/2021,1.4,11/3/2021,1.4,10/7/2021,1.2,9/6/2021,1.12,8/15/2021,1.12,7/9/2021,1.11,6/3/2021,1.12,5/6/2021,1.15,4/3/2021,1.15,3/2/2021,1.08,2/2/2021,1.08,12/27/2020,1.07,11/26/2020,1.07,11/25/2020
,,3/30/2024,,1.14,,1.03,,,,1.09,,1.1,,1.09,,1.09,,1.04,,1.04,,1.04,,1.04,,1.05,,1.05,,1.05,,0.93,,0.9,,0.9,,0.9,,0.9,,0.85,,0.86,,0.76,,0.76,,0.75,,0.75,
,,12/31/2023,,0.89,,0.8,,,,0.97,,0.99,,0.98,,0.98,,0.97,,0.97,,0.97,,0.91,,0.92,,0.91,,0.91,,0.81,,0.78,,0.79,,0.8,,0.79,,0.75,,0.75,,0.68,,0.68,,0.69,,0.69,
,,9/30/2023,,0.6,,0.59,,,,0.75,,0.74,,0.74,,0.75,,0.71,,0.71,,0.71,,0.73,,0.74,,0.75,,0.75,,0.69,,0.66,,0.65,,0.66,,0.65,,0.59,,0.59,,0.52,,0.52,,0.52,,0.52,
,,6/30/2023,,1.3,,1.35,,1.33,,1.34,8/17/2022,1.35,7/11/2022,1.35,6/10/2022,1.35,5/8/2022,1.39,4/11/2022,1.39,3/10/2022,1.39,2/2/2022,1.43,1/11/2022,1.44,12/8/2021,1.4,11/3/2021,1.4,10/7/2021,1.2,9/6/2021,1.12,8/15/2021,1.12,7/9/2021,1.11,6/3/2021,1.12,5/6/2021,1.15,4/3/2021,1.15,3/2/2021,1.08,2/2/2021,1.08,12/27/2020,1.07,11/26/2020,1.07,11/25/2020
,,3/30/2023,,0.97,,1.03,,1.02,,1.09,,1.1,,1.09,,1.09,,1.04,,1.04,,1.04,,1.04,,1.05,,1.05,,1.05,,0.93,,0.9,,0.9,,0.9,,0.9,,0.85,,0.86,,0.76,,0.76,,0.75,,0.75,
,,12/31/2022,,0.72,,0.8,,0.82,,0.97,,0.99,,0.98,,0.98,,0.97,,0.97,,0.97,,0.91,,0.92,,0.91,,0.91,,0.81,,0.78,,0.79,,0.8,,0.79,,0.75,,0.75,,0.68,,0.68,,0.69,,0.69,
,11/1/2022,9/30/2022,0.01,0.34,,0.59,,0.62,,0.75,,0.74,,0.74,,0.75,,0.71,,0.71,,0.71,,0.73,,0.74,,0.75,,0.75,,0.69,,0.66,,0.65,,0.66,,0.65,,0.59,,0.59,,0.52,,0.52,,0.52,,0.52,
,8/29/2022,6/30/2022,1.04,1.19,,1.15,,1.15,,1.15,,1.15,,1.19,,1.19,,1.2,,1.27,,1.27,,1.24,,1.16,,1.2,9/6/2021,1.12,8/15/2021,1.12,7/9/2021,1.11,6/3/2021,1.12,5/6/2021,1.15,4/3/2021,1.15,3/2/2021,1.08,2/2/2021,1.08,12/27/2020,1.07,11/26/2020,1.07,11/25/2020,,,,
,5/2/2022,3/31/2022,0.78,1.04,,0.94,,0.94,,0.94,,0.94,,0.93,,0.93,,0.9,,0.93,,0.9,,0.9,,0.9,,0.9,,0.85,,0.86,,0.76,,0.76,,0.75,,0.75,,,,,,,,,,,,,
,2/1/2022,12/31/2021,0.52,0.9,,0.83,,0.83,,0.82,,0.79,,0.81,,0.78,,0.79,,0.8,,0.79,,0.75,,0.75,,0.68,,0.68,,0.69,,0.69,,,,,,,,,,,,,,,,,,,
,11/2/2021,9/30/2021,0.49,0.71,,0.65,,0.69,,0.66,,0.65,,0.66,,0.65,,0.59,,0.59,,0.52,,0.52,,0.52,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
,8/30/2021,6/30/2021,0.97,1.16,,1.03,,1.03,,1.03,,1.02,,1.01,,1,,0.92,,0.92,,0.91,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,1.26,0.82,,0.73,,0.74,,0.65,,0.65,,0.64,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2/2021,12/31/2020,0.45,0.63,,0.55,,0.56,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2020,9/30/2020,0.41,0.43,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.2375,,,,,,,,,,
,8/31/2020,6/30/2020,0.85,0.9,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,0.08,0.5,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2020,12/31/2019,0.23,0.45,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2019,9/30/2019,-0.05,0.26,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/27/2019,6/28/2019,0.44,0.7,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,0.22,0.49,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2019,12/31/2018,0.33,0.45,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2018,9/28/2018,-0.1,0.28,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/28/2018,6/29/2018,0.61,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2018,3/29/2018,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2018,12/29/2017,-0.16,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2017,9/29/2017,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.49,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.21,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.46,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,1.22,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.37,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.18,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.36,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,-0.26,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2013,0.21,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2013,-0.25,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,-0.37,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2012,-0.26,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2012,-0.08,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,-0.08,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2011,-0.08,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
