Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,
12/31/2020,2.41,1/24/2020,2.4,1/23/2020,2.4,,2.49,,2.56,2.63,2.68,2.72,2.71,2.719823789,,,,,,
9/30/2020,2.53,,2.54,,2.54,,2.56,,2.6,2.73,2.8,2.83,2.8,2.776486784,,,,,,
6/30/2020,2.38,,2.39,,2.39,,2.47,,2.5,2.48,2.6,2.56,2.538502203,,,,,,,
3/31/2020,1.97,,1.99,,1.99,,2.05,,2.14,2.21,2.18,2.277852423,,,,,,,,
12/31/2019,2.02,,2.02,,2.04,,2.16,,2.32,2.4,2.43,2.41,2.4,2.38,2.31,,,,,
9/30/2019,2.215415301,,2.3,,2.44,,2.46,2.49,2.46,2.45,2.43,2.33,,,,,,,,
6/28/2019,2.217514124,,2.14,,2.28,,2.26,2.25,2.24,2.23,2.22,2.18,,,,,,,,
3/29/2019,1.933287005,,1.89,,1.92,,2,2.01,1.98,1.97,1.94,,,,,,,,,
12/31/2018,2.12034384,,2.06,,2.03,,2.06,2.02,,,,,,,,,,,,
9/28/2018,2.150087731,,2.1,,2.08,,1.98,,,,,,,,,,,,,
6/29/2018,1.97590677,,1.95,,1.85,,,,,,,,,,,,,,,
3/29/2018,1.680348897,,1.66,,,,,,,,,,,,,,,,,
12/29/2017,9.247776366,,1.54,,1.52,,1.51,1.43,1.45,1.44,1.52,,,,,,,,,
9/29/2017,1.496990973,,1.49,,1.55,,1.54,1.52,1.54,1.52,1.59,,,,,,,,,
6/30/2017,1.446977205,,1.39,,1.34,,1.33,1.31,1.32,1.31,1.39,1.23,,,,,,,,
3/31/2017,1.315660285,,1.23,,1.24,,1.25,1.24,1.25,1.27,,,,,,,,,,
12/30/2016,1.390543333,,1.33,,1.32,,1.34,1.38,1.39,1.64,1.67,1.76,1.91,,,,,,,
9/30/2016,1.359048306,,1.41,,1.38,,1.43,1.44,1.49,1.63,1.62,1.73,1.89,1.17,,,,,,
6/30/2016,1.16533746,,1.17,,1.21,,1.22,1.33,1.5,1.55,1.74,,,,,,,,,
3/31/2016,1.156253691,,1.1,,1.16,,1.38,1.43,1.48,,,,,,,,,,,
12/31/2015,1.308422162,,1.42,,1.47,,1.51,1.59,1.71,1.72,1.73,1.75,1.76,1.73,1.71,1.7,1.67,1.63,1.62,1.61
9/30/2015,1.501501502,,1.43,,1.52,,1.66,1.69,1.73,1.75,1.76,1.75,1.77,1.76,1.72,1.65,1.64,1.63,,
6/30/2015,1.375685558,,1.35,,1.51,,1.55,1.63,1.66,1.67,1.65,1.64,1.62,1.6,1.59,,,,,
3/31/2015,1.303806072,,1.37,,1.45,,1.46,1.43,1.41,1.4,1.38,1.35,1.46,,,,,,,
12/31/2014,1.608226568,,1.51,,1.5,,1.48,1.45,1.44,1.435,1.425,1.415,1.41,1.405,1.455,1.44,1.435,1.48,,
9/30/2014,1.527483554,,1.52,,1.48,,1.47,1.46,1.45,1.445,1.44,1.425,1.415,1.475,1.465,1.45,1.42,,,
6/30/2014,1.426519337,,1.43,,1.42,,1.385,1.365,1.36,1.345,1.34,1.35,1.34,1.35,1.19,,,,,
3/31/2014,1.192459448,,1.185,,1.175,,1.185,1.17,1.165,1.175,1.17,1.18,1.245,,,,,,,
12/31/2013,1.274148036,,1.245,,1.25,,1.285,1.28,1.235,,,,,,,,,,,
9/30/2013,1.239767342,,1.235,,1.28,,1.29,1.175,,,,,,,,,,,,
6/28/2013,1.182634731,,1.175,,1.165,,1.17,0.98,,,,,,,,,,,,
3/28/2013,1.017003188,,0.98,,0.985,,0.99,0.995,1.025,1.03,1.08,,,,,,,,,
12/28/2012,1.097457627,,1.09,,1.095,,,,,,,,,,,,,,,
9/28/2012,1.096380471,,1.09,,,,,,,,,,,,,,,,,
6/29/2012,1.049874267,,0.98,,,,,,,,,,,,,,,,,
3/30/2012,0.896343997,,0.82,,,,,,,,,,,,,,,,,
12/30/2011,0.994429544,,nan,,,,,,,,,,,,,,,,,
9/30/2011,0.926039746,,nan,,,,,,,,,,,,,,,,,
6/30/2011,0.797116166,,nan,,,,,,,,,,,,,,,,,
3/31/2011,0.646630237,,nan,,,,,,,,,,,,,,,,,
12/31/2010,0.770530921,,nan,,,,,,,,,,,,,,,,,
9/30/2010,0.781595339,,nan,,,,,,,,,,,,,,,,,
6/30/2010,0.701875617,,nan,,,,,,,,,,,,,,,,,
3/31/2010,0.507175152,,nan,,,,,,,,,,,,,,,,,
12/31/2009,0.197706603,,nan,,,,,,,,,,,,,,,,,
9/30/2009,0.506903353,,nan,,,,,,,,,,,,,,,,,
6/30/2009,0.701875617,,nan,,,,,,,,,,,,,,,,,
3/31/2009,0.460122699,,nan,,,,,,,,,,,,,,,,,
12/31/2008,0.655,,nan,,,,,,,,,,,,,,,,,
9/30/2008,0.69,,nan,,,,,,,,,,,,,,,,,
6/30/2008,0.51,,nan,,,,,,,,,,,,,,,,,
3/31/2008,0.425,,nan,,,,,,,,,,,,,,,,,
12/31/2007,0.465,,nan,,,,,,,,,,,,,,,,,
9/28/2007,0.5,,nan,,,,,,,,,,,,,,,,,
6/29/2007,0.41,,nan,,,,,,,,,,,,,,,,,
3/30/2007,0.355,,nan,,,,,,,,,,,,,,,,,
12/29/2006,0.445,,nan,,,,,,,,,,,,,,,,,
9/29/2006,0.385,,nan,,,,,,,,,,,,,,,,,
6/30/2006,0.36,,nan,,,,,,,,,,,,,,,,,
3/31/2006,0.2875,,nan,,,,,,,,,,,,,,,,,
12/30/2005,0.285,,nan,,,,,,,,,,,,,,,,,
9/30/2005,0.345,,nan,,,,,,,,,,,,,,,,,
6/30/2005,0.22,,nan,,,,,,,,,,,,,,,,,
3/31/2005,0.12,,nan,,,,,,,,,,,,,,,,,
12/31/2004,0.0775,,nan,,,,,,,,,,,,,,,,,
9/30/2004,0.1925,,nan,,,,,,,,,,,,,,,,,
6/30/2004,0.15,,nan,,,,,,,,,,,,,,,,,
3/31/2004,0.1575,,nan,,,,,,,,,,,,,,,,,
12/31/2003,0.5325,,nan,,,,,,,,,,,,,,,,,
9/30/2003,0.3025,,nan,,,,,,,,,,,,,,,,,
6/30/2003,0.275,,nan,,,,,,,,,,,,,,,,,
3/31/2003,0.4175,,nan,,,,,,,,,,,,,,,,,
12/31/2002,0.3575,,nan,,,,,,,,,,,,,,,,,
9/30/2002,0.4075,,nan,,,,,,,,,,,,,,,,,
6/28/2002,0.2875,,nan,,,,,,,,,,,,,,,,,
3/28/2002,0.215,,nan,,,,,,,,,,,,,,,,,
12/31/2001,0.2525,,nan,,,,,,,,,,,,,,,,,
9/28/2001,0.26,,nan,,,,,,,,,,,,,,,,,
6/29/2001,0.2375,,nan,,,,,,,,,,,,,,,,,
3/30/2001,0.18,,nan,,,,,,,,,,,,,,,,,
12/29/2000,0.16,,nan,,,,,,,,,,,,,,,,,
