CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,
N,,12/31/2026,,0.83,12/19/2025,0.83,11/6/2025,0.85,10/23/2025,0.85,9/15/2025,0.89,8/6/2025,0.95,7/22/2025,0.95,6/22/2025
,,9/30/2026,,0.79,,0.79,,0.79,,0.79,,0.82,,0.87,,0.87,
,,6/30/2026,,0.68,,0.69,,0.69,,0.69,,0.71,,0.75,,0.75,
,,3/30/2026,,0.61,,0.62,,0.62,,0.62,,0.64,,0.65,,0.65,
,,12/31/2025,,0.62,1/15/2025,0.62,1/15/2025,0.62,1/15/2025,0.62,1/15/2025,0.63,1/15/2025,0.64,1/15/2025,0.64,1/15/2025
,11/3/2025,9/30/2025,0.63,0.63,,0.59,,0.59,,0.59,,0.58,,0.58,,,
,8/4/2025,6/30/2025,0.41,0.53,,0.53,,0.53,,0.53,,,,,,,
,5/5/2025,3/30/2025,-1.15,0.55,,0.51,,0.51,,0.54,,,,,,,
,2/10/2025,12/31/2024,0.88,0.95,4/4/2024,0.98,4/4/2024,0.98,4/4/2024,0.98,4/4/2024,,,,,,
,10/28/2024,9/30/2024,0.93,0.99,,0.97,,0.97,,0.98,,,,,,,
,7/29/2024,6/30/2024,0.78,0.96,,0.93,,0.93,,1.01,,,,,,,
,5/2/2024,3/30/2024,1.04,1.08,,1.05,,1.05,,1.11,,,,,,,
,2/5/2024,12/31/2023,1.28,1.25,3/17/2023,1.2,3/17/2023,1.2,3/17/2023,1.21,3/17/2023,,,,,,
,10/30/2023,9/30/2023,1.29,1.39,,1.34,,1.34,,1.33,,,,,,,
,7/31/2023,6/30/2023,1.29,1.33,,1.21,,1.21,,1.18,,,,,,,
,5/1/2023,3/30/2023,1.03,1.19,,1.09,,1.09,,1.14,,,,,,,
,2/6/2023,12/30/2022,1.35,1.32,,1.27,,1.26,,1.26,,,,,,,
,10/31/2022,9/30/2022,0.7,1.43,,1.32,,1.32,,1.3,,,,,,,
,8/1/2022,6/30/2022,1.02,1.34,,1.26,,1.26,,1.05,,,,,,,
,5/2/2022,3/31/2022,1.182223212,1.22,,1.05,,0.82,,0.81,,,,,,,
,2/7/2022,12/31/2021,0.956433865,1.09,,0.94,,0.93,,0.84,,,,,,,
,11/1/2021,10/1/2021,0.702745632,0.87,,0.74,,0.61,,0.51,,,,,,,
,8/2/2021,7/2/2021,0.415013526,0.63,,0.49,,0.31,,0.3,,,,,,,
,5/3/2021,3/31/2021,0.201841042,0.35,,0.34,,0.24,,0.21,,,,,,,
,2/1/2021,12/31/2020,0.206209453,0.35,,0.28,,0.27,,0.24,,,,,,,
,10/31/2020,9/30/2020,0.383934975,0.27,,0.2,,0.15,,0.33,,,,,,,
,8/8/2020,6/30/2020,-0.003413802,0.12,,0.02,,0.22,,0.39,,,,,,,
,5/9/2020,3/31/2020,-0.034096444,0.1,,0.15,,0.16,,0.32,,,,,,,
,2/3/2020,12/31/2019,0.135102822,0.3,,0.32,,0.47,,0.48,,,,,,,
,10/27/2019,9/30/2019,-0.147904483,0.33,,0.36,,0.47,,0.48,,,,,,,
,8/4/2019,6/28/2019,0.243715585,0.42,,0.42,,0.44,,0.43,,,,,,,
,4/27/2019,3/29/2019,0.273162557,0.43,,0.4,,0.39,,0.41,,,,,,,
,,12/31/2018,0.394285714,,,0.47,,0.48,,0.47,,,,,,,
,,9/28/2018,0.383413738,,,0.51,,0.48,,0.42,,,,,,,
,,6/29/2018,0.3495386,,,0.45,,0.44,,0.43,,,,,,,
,,3/29/2018,0.31427285,,,0.39,,0.32,,,,,,,,,
,,12/29/2017,1.222940226,,,0.37,,0.34,,0.32,,,,,,,
,,9/29/2017,0.254269006,,,0.4,,0.36,,0.34,,,,,,,
,,6/30/2017,0.220526069,,,0.32,,0.31,,0.28,,,,,,,
,,3/31/2017,0.183654298,,,0.25,,0.23,,,,,,,,,
,,12/30/2016,0.259779808,,,0.23,,0.26,,,,,,,,,
,,9/30/2016,0.024059076,,,0.24,,0.27,,,,,,,,,
,,7/1/2016,0.060105364,,,0.19,,0.2,,0.23,,,,,,,
,,4/1/2016,0.086642599,,,0.15,,0.19,,,,,,,,,
,,12/31/2015,0.12976733,,,0.19,,0.26,,0.27,,,,,,,
,,10/2/2015,0.110898204,,,0.23,,0.27,,0.28,,,,,,,
,,7/2/2015,0.116204446,,,0.22,,0.25,,,,,,,,,
,,4/2/2015,0.12525574,,,0.18,,0.17,,0.21,,,,,,,
,,12/31/2014,0.011131304,,,0.16,,0.22,,0.21,,,,,,,
,,9/30/2014,0.093504158,,,0.23,,0.22,,0.2,,,,,,,
,,6/30/2014,0.197975253,,,0.19,,0.17,,0.15,,,,,,,
,,3/31/2014,0.131383577,,,0.15,,0.13,,0.14,,,,,,,
,,12/31/2013,0.08490566,,,0.14,,0.16,,,,,,,,,
,,9/30/2013,0.114576421,,,0.16,,0.17,,0.13,,,,,,,
,,6/28/2013,0.105228326,,,0.13,,0.12,,0.08,,,,,,,
,,3/28/2013,0.049944751,,,0.08,,0.07,,0.11,,,,,,,
,,12/31/2012,-0.30806955,,,0.07,,0.12,,0.13,,,,,,,
,,9/28/2012,0.027400263,,,0.16,,,,,,,,,,,
,,6/29/2012,0.015081967,,,nan,,,,,,,,,,,
,,3/30/2012,0.06122449,,,nan,,,,,,,,,,,
,,12/30/2011,-0.019538188,,,nan,,,,,,,,,,,
,,9/30/2011,-0.110071301,,,nan,,,,,,,,,,,
,,7/1/2011,0.074539545,,,nan,,,,,,,,,,,
,,4/1/2011,0.07872807,,,nan,,,,,,,,,,,
,,12/31/2010,0.136312849,,,nan,,,,,,,,,,,
,,10/1/2010,0.199636198,,,nan,,,,,,,,,,,
,,7/2/2010,0.179026388,,,nan,,,,,,,,,,,
,,4/1/2010,0.142889544,,,nan,,,,,,,,,,,
,,12/31/2009,0.157370979,,,nan,,,,,,,,,,,
,,10/2/2009,0.068093828,,,nan,,,,,,,,,,,
,,7/2/2009,-0.007130972,,,nan,,,,,,,,,,,
,,4/2/2009,-0.08196325,,,nan,,,,,,,,,,,
,,12/31/2008,-1.28,,,nan,,,,,,,,,,,
,,9/30/2008,0.13,,,nan,,,,,,,,,,,
,,6/30/2008,0.08,,,nan,,,,,,,,,,,
,,3/31/2008,0.04,,,nan,,,,,,,,,,,
,,12/31/2007,0.2,,,nan,,,,,,,,,,,
,,9/28/2007,0.2,,,nan,,,,,,,,,,,
,,6/29/2007,0.21,,,nan,,,,,,,,,,,
,,3/30/2007,0.18,,,nan,,,,,,,,,,,
,,12/29/2006,0.26,,,nan,,,,,,,,,,,
,,9/29/2006,0.23,,,nan,,,,,,,,,,,
,,6/30/2006,0.19,,,nan,,,,,,,,,,,
,,3/31/2006,0.12,,,nan,,,,,,,,,,,
,,12/30/2005,0.07,,,nan,,,,,,,,,,,
,,9/30/2005,0.06,,,nan,,,,,,,,,,,
,,6/30/2005,0.05,,,nan,,,,,,,,,,,
,,3/31/2005,0.04,,,nan,,,,,,,,,,,
,,12/31/2004,-0.36,,,nan,,,,,,,,,,,
,,9/30/2004,0.04,,,nan,,,,,,,,,,,
,,6/30/2004,-0.02,,,nan,,,,,,,,,,,
,,3/31/2004,-0.23,,,nan,,,,,,,,,,,
,,12/31/2003,-0.21,,,nan,,,,,,,,,,,
,,9/30/2003,-0.1,,,nan,,,,,,,,,,,
,,6/30/2003,-0.34,,,nan,,,,,,,,,,,
,,3/31/2003,-0.3,,,nan,,,,,,,,,,,
,,12/31/2002,-0.24,,,nan,,,,,,,,,,,
,,9/30/2002,-0.13,,,nan,,,,,,,,,,,
,,6/28/2002,-0.19,,,nan,,,,,,,,,,,
,,3/28/2002,-0.3,,,nan,,,,,,,,,,,
,,12/31/2001,-2.6,,,nan,,,,,,,,,,,
,,9/28/2001,-0.47,,,nan,,,,,,,,,,,
,,6/29/2001,-0.88,,,nan,,,,,,,,,,,
,,3/30/2001,-0.92,,,nan,,,,,,,,,,,
,,12/29/2000,0.1,,,nan,,,,,,,,,,,
,,9/29/2000,0.17,,,nan,,,,,,,,,,,
