CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
,,12/31/2025,,1.74,10/14/2024,1.74,9/9/2024,1.74,7/27/2024,1.75,7/7/2024,1.75,5/28/2024,1.48,4/20/2024,1.49,4/19/2024,1.48,,1.44,,1.42,,1.46,,1.47,,1.48,,1.49
,,9/30/2025,,1.84,,1.85,,1.84,,1.82,,1.82,,1.63,,1.63,,1.6,,1.54,,1.55,,1.51,,,,,,
,,6/28/2025,,1.76,,1.76,,1.76,,1.71,,1.71,,1.53,,1.53,,1.54,,1.53,,1.47,,1.45,,,,,,
,,3/28/2025,,1.6,,1.6,,1.6,,1.58,,1.57,,1.35,,1.35,,1.39,,1.4,,1.42,,1.4,,1.39,,,,
,,12/31/2024,,1.5,4/20/2024,1.5,4/20/2024,1.5,4/20/2024,1.48,4/20/2024,1.48,4/20/2024,1.48,4/20/2024,1.49,4/19/2024,1.48,,1.44,,1.42,,1.46,,1.47,,1.48,,1.49
,,9/30/2024,,1.62,,1.62,,1.61,,1.6,,1.61,,1.63,,1.63,,1.6,,1.54,,1.55,,1.51,,,,,,
,7/24/2024,6/28/2024,1.62,1.61,,1.52,,1.52,,1.53,,1.53,,1.54,,1.53,,1.47,,1.45,,,,,,,,,,
,4/30/2024,3/28/2024,1.44,1.45,,1.35,,1.35,,1.39,,1.4,,1.42,,1.4,,1.39,,,,,,,,,,,,
,2/27/2024,12/29/2023,1.392461197,1.41,,1.29,,1.3,,1.28,,1.29,,1.3,,1.31,,1.32,,,,,,,,,,,,
,10/26/2023,9/29/2023,1.516740366,1.54,,1.42,,1.4,,,,,,,,,,,,,,,,,,,,,,
,7/31/2023,6/30/2023,1.34699023,1.41,,1.32,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2023,3/31/2023,1.210659098,1.24,,1.13,,,,,,,,,,,,,,,,,,,,,,,,
,2/15/2023,12/30/2022,1.093661306,1.13,,1.02,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2022,9/30/2022,1.315141956,1.34,,1.22,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,1.17318612,1.32,,1.18,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,1.109709962,1.14,,1.05,,,,,,,,,,,,,,,,,,,,,,,,
,2/10/2022,12/31/2021,0.983045526,1.02,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,1.096743895,1.11,,1.05,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,1.0346875,1.09,,0.96,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,0.925265791,0.93,,0.86,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2021,12/31/2020,0.735854955,1,,0.82,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.813262434,1,,0.82,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.705569462,0.81,,0.59,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,0.769206746,0.77,,0.76,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.902652106,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.927261424,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.779120198,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.723956723,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.924423963,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.805750994,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.714416058,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.715532812,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,1.979737783,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.659379616,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.596764706,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.549283416,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.554742389,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.248837209,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.523754345,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.451975772,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.494259472,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.613759635,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.540625,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.485907554,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.141331835,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.51942969,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.500559284,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
