CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP diluted ,,1/30/2024,,2.07,11/23/2022,2.14,9/30/2022,2.19,8/27/2022,2.18,8/5/2022,2.18,7/1/2022,2.23,5/31/2022,2.23,4/1/2022,,2/27/2022,2.13,1/30/2022,2.13,12/29/2021,2.17,11/24/2021,2.22,11/21/2021,2.22,11/8/2021,2.24,10/4/2021,2.24,8/29/2021,2.29,8/8/2021,2.29,6/29/2021,2.3,5/28/2021,2.3,5/7/2021,2.02,4/3/2021,2.09,2/28/2021,2.09,1/16/2021,2.2,8/27/2020,2.17,8/6/2020,2.17,6/27/2020,2.17,5/11/2020
,,10/30/2023,,1.71,,1.77,,1.78,,1.77,,1.77,,1.82,,1.82,,,,1.73,,1.72,,1.72,,1.72,,1.72,,1.73,,1.73,,1.77,,1.77,,1.78,,1.78,,1.57,,1.65,,1.65,,1.69,,1.67,,1.67,,1.67,
,,7/30/2023,,1.78,,1.81,,1.8,,1.78,,1.78,,1.81,,1.81,,,,1.74,,1.74,,1.75,,1.8,,1.8,,1.81,,1.82,,1.82,,1.81,,1.84,,1.84,,1.63,,1.69,,1.69,,1.8,,1.72,,1.72,,1.72,
,,4/30/2023,,1.54,,1.56,,1.58,,1.58,,1.58,,1.63,,1.63,,,,1.64,,1.64,,1.65,,1.68,,1.67,,1.68,,1.69,,1.72,,1.72,,1.69,,1.69,,1.49,,1.48,,1.48,,1.61,,1.59,,1.59,,1.59,
,,1/30/2023,,1.92,,1.95,,2,,1.99,,1.99,,2.07,,2.09,,2.13,,2.13,1/30/2022,2.13,12/29/2021,2.17,11/24/2021,2.22,11/21/2021,2.22,11/8/2021,2.24,10/4/2021,2.24,8/29/2021,2.29,8/8/2021,2.29,6/29/2021,2.3,5/28/2021,2.3,5/7/2021,2.02,4/3/2021,2.09,2/28/2021,2.09,1/16/2021,2.2,8/27/2020,2.17,8/6/2020,2.17,6/27/2020,2.17,5/11/2020
,11/22/2022,10/30/2022,0.54,1.47,,1.58,,1.59,,1.57,,1.57,,1.63,,1.68,,1.72,,1.73,,1.72,,1.72,,1.72,,1.72,,1.73,,1.73,,1.77,,1.77,,1.78,,1.78,,1.57,,1.65,,1.65,,1.69,,1.67,,1.67,,1.67,
,8/25/2022,7/30/2022,0.82,1.64,,1.57,,1.61,,1.68,,1.74,,1.74,,1.74,,1.75,,1.8,,1.8,,1.81,,1.82,,1.82,,1.81,,1.84,,1.84,,1.63,,1.69,,1.69,,1.8,,1.72,,1.72,,1.72,,,,,,,
,5/26/2022,4/30/2022,0.57,1.28,,1.64,,1.64,,1.64,,1.65,,1.68,,1.67,,1.68,,1.69,,1.72,,1.72,,1.69,,1.69,,1.49,,1.48,,1.48,,1.61,,1.59,,1.59,,1.59,,,,,,,,,,,,,
,2/24/2022,1/29/2022,1.39,2.02,,1.98,,1.94,,1.89,,1.89,,1.89,,1.9,,1.99,,1.99,,2,,2.03,,2.02,4/3/2021,2.09,2/28/2021,2.09,1/16/2021,2.2,8/27/2020,2.17,8/6/2020,2.17,6/27/2020,2.17,5/11/2020,,,,,,,,,,,,,,,,
,11/23/2021,10/30/2021,0.94,1.72,,1.54,,1.54,,1.54,,1.56,,1.56,,1.57,,1.57,,1.57,,1.65,,1.65,,1.69,,1.67,,1.67,,1.67,,,,,,,,,,,,,,,,,,,,,,,
,8/26/2021,7/31/2021,0.97,1.75,,1.64,,1.65,,1.64,,1.63,,1.69,,1.69,,1.8,,1.72,,1.72,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2021,4/30/2021,1.01,1.76,,1.49,,1.48,,1.48,,1.61,,1.59,,1.59,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2021,1/29/2021,1.87,2.21,,1.88,,1.78,5/11/2020,1.78,5/11/2020,2.03,5/11/2020,2.05,3/28/2020,2.31,2/27/2020,2.31,2/22/2020,2.31,1/23/2020,2.31,,2.38,,2.32,2.349647239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/24/2020,10/30/2020,1.02,1.66,,1.36,,1.36,,1.48,,1.51,,1.63,,1.63,,1.63,,1.63,,1.68,,1.69,1.75,1.77,1.787530675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/27/2020,7/31/2020,1.06,1.81,,1.45,,1.44,,1.5,,1.67,,1.67,,1.67,,1.67,,1.75,,1.73,1.75,1.765046012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2020,4/30/2020,0.92,1.52,,1.24,,1.39,,1.39,,1.39,,1.39,,1.47,,1.46,1.47,1.46,1.427776074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2020,1/31/2020,0.76,1.05,,2.17,,2.17,,2.19,,2.07,2.08,2.09,2.08,2.03,2.08,2.03,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/26/2019,11/1/2019,1.499804373,1.49,,1.44,,1.58,1.59,1.64,1.6,1.65,1.6,1.61,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/22/2019,8/2/2019,12.47,1.6,,1.56,,1.57,1.6,1.62,1.6,1.59,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/30/2019,5/3/2019,1.20701647,1.32,,1.27,,1.32,1.33,1.32,1.33,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2019,1/31/2019,1.205423927,1.98,,1.86,,1.87,1.86,1.85,1.97,1.92,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/29/2018,11/2/2018,0.805834823,1.56,,1.52,,1.5,1.56,1.54,1.44,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/23/2018,8/3/2018,1.55824296,1.54,,1.35,,1.32,1.25,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2018,5/4/2018,2.292350073,1.26,,1.13,,1.09,1.08,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
