Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,
12/31/2020,0.43,12/26/2020,0.5,12/31/2019,1.18,9/15/2019,1.22,,1.22,,1.37,,1.39,,1.447734628,,,,,
9/30/2020,0.42,,0.51,,0.94,,1.13,,1.13,,1.16,,1.221132686,,,,,,,
6/30/2020,-0.11,,-0.06,,0.38,,0.54,,0.54,,0.56,,0.478381877,,,,,,,
3/31/2020,0.2,,0.25,,0.64,,0.77,,0.77,,0.81,,0.76,,0.755339806,,,,,
12/31/2019,0.4,,0.4,,1.05,,1.35,,1.35,,1.49,,1.5,,1.15,0.98,0.96,0.98,1.14,1.07
9/30/2019,1.24,,0.59,,0.87,,0.87,,0.93,,0.94,,0.97,0.93,0.95,0.78,0.83,,,
6/28/2019,0.250564962,,0.03,,0.38,,0.37,,0.38,,0.44,0.38,,,,,,,,
3/29/2019,0.782950318,,0.6,,0.64,,0.63,,0.66,,0.74,0.71,,,,,,,,
12/31/2018,0.881451415,,0.5,,0.88,,0.9,,0.91,,0.93,0.83,,,,,,,,
9/28/2018,1.120079983,,0.48,,0.59,,0.76,,0.78,,0.18,,,,,,,,,
6/29/2018,0.369516886,,0.17,,0.51,,0.54,,0.43,,,,,,,,,,,
3/29/2018,0.705355599,,0.48,,0.5,,0.47,,,,,,,,,,,,,
12/29/2017,0.160495971,,0.25,,0.27,,0.69,,0.72,,0.62,0.59,,,,,,,,
9/29/2017,0.763660257,,0.47,,0.67,,0.71,,0.67,,0.56,,,,,,,,,
6/30/2017,0.274619501,,-0.28,,-0.18,,0.26,,0.36,,,,,,,,,,,
3/31/2017,0.578158685,,0.27,,0.29,,0.24,,0.22,,,,,,,,,,,
12/30/2016,0.491715487,,0.41,,0.64,,0.56,,0.53,,0.52,0.45,,,,,,,,
9/30/2016,0.702426381,,0.43,,0.45,,0.46,,0.48,,0.47,0.57,,,,,,,,
7/1/2016,0.172941515,,0.1,,0.28,,0.33,,0.36,,0.33,,,,,,,,,
3/31/2016,0.133405714,,0.01,,0.02,,0.26,,0.24,,,,,,,,,,,
12/31/2015,0.653030201,,0.57,,0.56,,0.65,,0.53,,0.52,0.43,0.4,0.38,0.44,,,,,
9/30/2015,0.424776704,,0.23,,0.53,,0.54,,0.49,,0.51,0.48,0.41,,,,,,,
6/26/2015,0.239592969,,0.06,,0.31,,0.33,,0.31,,0.29,,,,,,,,,
3/31/2015,0.157260999,,0.1,,0.11,,0.26,,0.27,,0.35,,,,,,,,,
12/31/2014,0.310383598,,0.3,,0.29,,0.36,,0.35,,0.25,0.27,0.25,0.33,,,,,,
9/26/2014,0.483947918,,0.33,,0.37,,0.35,,0.36,,0.21,,,,,,,,,
6/30/2014,0.283115935,,0.22,,0.23,,0.25,,0.26,,0.16,,,,,,,,,
3/31/2014,0.175806613,,0.16,,0.28,,0.26,,0.23,,0.11,,,,,,,,,
12/27/2013,0.107296715,,0.1,,0.17,,0.2,,0.24,,,,,,,,,,,
9/30/2013,0.263809073,,0.24,,0.27,,0.25,,0.26,,0.2,,,,,,,,,
6/28/2013,0.283788408,,0.19,,0.13,,0.11,,0.1,,0.17,,,,,,,,,
3/28/2013,0.292562504,,0.18,,0.17,,0.12,,0.06,,0.07,0.08,-0.35,,,,,,,
12/28/2012,-0.213581757,,-0.34,,0.19,,0.35,,,,,,,,,,,,,
9/28/2012,0.536951379,,0.34,,,,,,,,,,,,,,,,,
6/29/2012,0.26169186,,0.1,,,,,,,,,,,,,,,,,
3/30/2012,0.023088074,,-0.01,,,,,,,,,,,,,,,,,
12/30/2011,0.377944364,,nan,,,,,,,,,,,,,,,,,
9/30/2011,0.50293486,,nan,,,,,,,,,,,,,,,,,
7/5/2011,0.287485221,,nan,,,,,,,,,,,,,,,,,
4/1/2011,0.272039294,,nan,,,,,,,,,,,,,,,,,
12/31/2010,0.264470304,,nan,,,,,,,,,,,,,,,,,
10/1/2010,0.265558912,,nan,,,,,,,,,,,,,,,,,
7/2/2010,0.201478673,,nan,,,,,,,,,,,,,,,,,
4/1/2010,0.236621015,,nan,,,,,,,,,,,,,,,,,
12/31/2009,0.200156006,,nan,,,,,,,,,,,,,,,,,
9/25/2009,0.101051811,,nan,,,,,,,,,,,,,,,,,
6/26/2009,-0.104497937,,nan,,,,,,,,,,,,,,,,,
3/27/2009,-0.071761304,,nan,,,,,,,,,,,,,,,,,
12/31/2008,0.21,,nan,,,,,,,,,,,,,,,,,
9/30/2008,0.15,,nan,,,,,,,,,,,,,,,,,
6/30/2008,-0.18,,nan,,,,,,,,,,,,,,,,,
3/31/2008,-0.16,,nan,,,,,,,,,,,,,,,,,
12/31/2007,0.81,,nan,,,,,,,,,,,,,,,,,
9/28/2007,-0.06,,nan,,,,,,,,,,,,,,,,,
6/29/2007,-0.2,,nan,,,,,,,,,,,,,,,,,
3/30/2007,-0.23,,nan,,,,,,,,,,,,,,,,,
12/29/2006,-0.08,,nan,,,,,,,,,,,,,,,,,
9/29/2006,0.39,,nan,,,,,,,,,,,,,,,,,
6/30/2006,-0.08,,nan,,,,,,,,,,,,,,,,,
3/31/2006,-0.12,,nan,,,,,,,,,,,,,,,,,
12/30/2005,0,,nan,,,,,,,,,,,,,,,,,
9/30/2005,0.4,,nan,,,,,,,,,,,,,,,,,
6/30/2005,-0.3,,nan,,,,,,,,,,,,,,,,,
3/31/2005,-0.42,,nan,,,,,,,,,,,,,,,,,
12/31/2004,0.02,,nan,,,,,,,,,,,,,,,,,
9/30/2004,0.14,,nan,,,,,,,,,,,,,,,,,
6/30/2004,-0.36,,nan,,,,,,,,,,,,,,,,,
