CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
N,,4/29/2022,2,1/16/2021,2,1/14/2021,2.03,,2.105274725,,,,,,,,,,,,,,,,,,,,
,,1/31/2022,2.27,,2.27,,2.33,,2.289230769,,,,,,,,,,,,,,,,,,,,
,,10/29/2021,2.26,,2.26,,2.31,,2.248351648,,,,,,,,,,,,,,,,,,,,
,,7/30/2021,1.8,,1.8,,1.95,,1.716923077,,,,,,,,,,,,,,,,,,,,
,,4/30/2021,1.76,,1.76,,1.88,,2.06,,2.09,,2.082804428,,2.19,,2.207957497,,2.197317647,,,,,,,,,,
,,1/29/2021,2.19,,2.19,,2.17,,2.24,,2.31,,2.254686347,,2.47,,2.477473436,,2.477164706,,,,,,,,,,
,11/24/2020,10/30/2020,2.021987687,,2.23,,2.22,,2.2,,2.29,,2.28501845,,2.26,,2.290885478,,2.300964706,,,,,,,,,,
,8/25/2020,7/31/2020,2.078414097,,1.67,,1.68,,1.75,,1.597490775,,1.7,,1.803683589,,1.813823529,,,,,,,,,,,,
,6/4/2020,4/30/2020,1.985087719,,2.29,,2.06,,2.15,,2.13,,2.12,,2.11,,,,,,,,,,,,,,
,2/26/2020,1/31/2020,1.642857143,,2.23,,2.41,,2.39,,2.18,,2.21,,,,,,,,,,,,,,,,
,11/22/2019,10/31/2019,1.850970018,,2.13,,2.18,,2.21,,2.22,,2.28,,2.26,,,,,,,,,,,,,,
,8/27/2019,7/31/2019,1.357458076,,1.74,,1.75,,1.79,,1.82,,,,,,,,,,,,,,,,,,
,6/6/2019,4/30/2019,0.628295255,,1.95,,2.05,,2.06,,2.37,,,,,,,,,,,,,,,,,,
,2/26/2019,1/31/2019,1.072438163,,2.01,,2.02,,2.48,,,,,,,,,,,,,,,,,,,,
,11/28/2019,10/31/2018,1.656360424,,2.34,,2.47,,,,,,,,,,,,,,,,,,,,,,
,8/21/2018,7/31/2018,1.169761273,,1.76,,2,,,,,,,,,,,,,,,,,,,,,,
,6/7/2018,4/30/2018,1.636443662,,2.18,,2.21,,1.86,,1.87,,,,,,,,,,,,,,,,,,
,2/16/2018,1/31/2018,7.317699115,,2.14,,2.1,,,,,,,,,,,,,,,,,,,,,,
,11/16/2017,10/31/2017,1.712389381,,1.9,,2.13,,,,,,,,,,,,,,,,,,,,,,
,8/24/2017,7/31/2017,1.116814159,,1.62,,1.91,,1.92,,,,,,,,,,,,,,,,,,,,
,,4/28/2017,0.960784267,,1.72,,1.73,,1.74,,1.77,,1.36,,,,,,,,,,,,,,,,
,,1/31/2017,1.160728098,,2,,2.02,,1.75,,,,,,,,,,,,,,,,,,,,
,,10/31/2016,1.521432947,,1.93,,1.73,,1.65,,,,,,,,,,,,,,,,,,,,
,,7/29/2016,1.459298395,,1.74,,1.53,,1.55,,,,,,,,,,,,,,,,,,,,
,,4/29/2016,1.607133221,,1.2,,1.19,,1.22,,1.24,,1.23,,,,,,,,,,,,,,,,
,,1/29/2016,1.554265442,,1.62,,1.68,,1.72,,,,,,,,,,,,,,,,,,,,
,,10/30/2015,1.476887553,,1.51,,1.54,,1.61,,1.63,,1.75,,1.76,,,,,,,,,,,,,,
,,7/31/2015,1.145227606,,1.23,,1.33,,1.37,,1.42,,,,,,,,,,,,,,,,,,
,,4/30/2015,-0.82407248,,0.99,,1.01,,1.18,,1.31,,1.27,,1.7,,,,,,,,,,,,,,
,,1/30/2015,1.58052681,,1.51,,1.5,,1.51,,1.55,,1.71,,1.7,,1.65,,,,,,,,,,,,
,,10/31/2014,1.554633779,,1.53,,1.66,,1.68,,1.67,,1.68,,1.67,,1.62,,1.65,,1.68,,1.6,,1.71,,1.67,,1.37
,,7/31/2014,1.139747373,,1.37,,1.31,,1.36,,1.37,,1.35,,1.36,,1.3,,1.16,,,,,,,,,,
,,4/30/2014,1.155405974,,1.16,,1.34,,1.35,,1.36,,1.38,,1.37,,1.39,,1.67,,,,,,,,,,
,,1/31/2014,1.590567369,,1.68,,1.69,,1.67,,1.62,,1.61,,1.63,,1.62,,1.59,,,,,,,,,,
,,10/31/2013,1.458924254,,1.6,,1.59,,1.58,,1.56,,1.2,,,,,,,,,,,,,,,,
,,7/31/2013,1.194625566,,1.2,,1.25,,1.15,,,,,,,,,,,,,,,,,,,,
,,4/30/2013,1.215577903,,1.15,,1.21,,1.37,,,,,,,,,,,,,,,,,,,,
,,1/31/2013,1.421009022,,1.39,,1.45,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2012,1.362425791,,1.45,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2012,1.012927329,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2012,0.934358117,,0.99,,,,,,,,,,,,,,,,,,,,,,,,
,,1/30/2012,1.038216993,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,10/28/2011,1.128241997,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2011,0.975404037,,nan,,,,,,,,,,,,,,,,,,,,,,,,
