CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP Diluted,,12/31/2025,,0.33,5/11/2024,0.3,3/30/2024,0.3,2/10/2024,0.28,1/26/2024,0.28,12/26/2023,0.28,11/3/2023,0.29,10/19/2023,0.29,9/16/2023,0.3,8/3/2023,0.28,6/19/2023,0.37,5/11/2023,,3/17/2023,0.42,2/11/2023,0.45,1/15/2023,0.45,12/8/2022,0.46,11/3/2022,0.45,10/12/2022,0.45,9/10/2022,0.45,8/7/2022,0.5,7/10/2022,0.5,6/9/2022,0.5,5/8/2022,0.5,4/11/2022,,3/10/2022,0.41,2/2/2022,0.44,1/2/2022,0.44,12/1/2021,0.44,10/28/2021,0.46,10/4/2021,0.46,8/31/2021,0.46,7/28/2021,0.47,6/23/2021,0.48,5/25/2021,0.48,4/27/2021,0.48,3/26/2021
,,9/30/2025,,0.3,,0.28,,0.28,,0.26,,0.26,,0.26,,0.26,,0.26,,0.27,,0.26,,0.36,,,,0.38,,0.42,,0.42,,0.43,,0.43,,0.43,,0.43,,0.47,,0.47,,0.47,,0.47,,,,0.38,,0.42,,0.42,,0.42,,0.42,,0.42,,0.42,,0.43,,0.44,,0.43,,0.43,
,,6/30/2025,,0.27,,0.25,,0.25,,0.22,,0.22,,0.22,,0.24,,0.24,,0.2,,0.23,,0.32,,,,0.32,,0.38,,0.38,,0.4,,0.41,,0.41,,0.41,,0.43,,0.43,,0.43,,0.43,,,,0.37,,0.4,,0.4,,0.4,,0.39,,0.39,,0.39,,0.41,,0.4,,0.39,,0.39,
,,3/30/2025,,0.27,,0.23,,0.23,,0.2,,0.2,,0.2,,0.21,,0.21,,0.19,,0.21,,0.28,,,,0.27,,0.36,,0.36,,0.38,,0.39,,0.39,,0.39,,0.4,,0.4,,0.4,,0.4,,,,0.37,,0.38,,0.38,,0.38,,0.38,,0.38,,0.38,,0.39,,0.38,,0.35,,0.35,
,,12/31/2024,,0.29,3/30/2024,0.3,3/30/2024,0.3,2/10/2024,0.28,1/26/2024,0.28,12/26/2023,0.28,11/3/2023,0.29,10/19/2023,0.29,9/16/2023,0.3,8/3/2023,0.28,6/19/2023,0.37,5/11/2023,,3/17/2023,0.42,2/11/2023,0.45,1/15/2023,0.45,12/8/2022,0.46,11/3/2022,0.45,10/12/2022,0.45,9/10/2022,0.45,8/7/2022,0.5,7/10/2022,0.5,6/9/2022,0.5,5/8/2022,0.5,4/11/2022,,3/10/2022,0.41,2/2/2022,0.44,1/2/2022,0.44,12/1/2021,0.44,10/28/2021,0.46,10/4/2021,0.46,8/31/2021,0.46,7/28/2021,0.47,6/23/2021,0.48,5/25/2021,0.48,4/27/2021,0.48,3/26/2021
,,9/30/2024,,0.26,,0.28,,0.28,,0.26,,0.26,,0.26,,0.26,,0.26,,0.27,,0.26,,0.36,,,,0.38,,0.42,,0.42,,0.43,,0.43,,0.43,,0.43,,0.47,,0.47,,0.47,,0.47,,,,0.38,,0.42,,0.42,,0.42,,0.42,,0.42,,0.42,,0.43,,0.44,,0.43,,0.43,
,,6/30/2024,,0.21,,0.25,,0.25,,0.22,,0.22,,0.22,,0.24,,0.24,,0.2,,0.23,,0.32,,,,0.32,,0.38,,0.38,,0.4,,0.41,,0.41,,0.41,,0.43,,0.43,,0.43,,0.43,,,,0.37,,0.4,,0.4,,0.4,,0.39,,0.39,,0.39,,0.41,,0.4,,0.39,,0.39,
,5/7/2024,3/30/2024,0.07,0.17,,0.23,,0.23,,0.2,,0.2,,0.2,,0.21,,0.21,,0.19,,0.21,,0.28,,,,0.27,,0.36,,0.36,,0.38,,0.39,,0.39,,0.39,,0.4,,0.4,,0.4,,0.4,,,,0.37,,0.38,,0.38,,0.38,,0.38,,0.38,,0.38,,0.39,,0.38,,0.35,,0.35,
,2/6/2024,12/31/2023,0.12,0.28,3/17/2023,0.24,3/17/2023,0.24,3/17/2023,0.24,3/17/2023,0.23,3/17/2023,0.23,3/17/2023,0.23,3/17/2023,0.23,3/17/2023,0.33,3/17/2023,0.42,3/17/2023,0.42,2/11/2023,0.45,1/15/2023,0.45,12/8/2022,0.46,11/3/2022,0.45,10/12/2022,0.45,9/10/2022,0.45,8/7/2022,0.5,7/10/2022,0.5,6/9/2022,0.5,5/8/2022,0.5,4/11/2022,,3/10/2022,0.41,2/2/2022,0.44,1/2/2022,0.44,12/1/2021,0.44,10/28/2021,0.46,10/4/2021,0.46,8/31/2021,0.46,7/28/2021,0.47,6/23/2021,0.48,5/25/2021,0.48,4/27/2021,0.48,3/26/2021,,,,
,11/2/2023,9/30/2023,0.14,0.25,,0.18,,0.18,,0.18,,0.19,,0.29,,0.38,,0.38,,0.42,,0.42,,0.43,,0.43,,0.43,,0.43,,0.47,,0.47,,0.47,,0.47,,,,0.38,,0.42,,0.42,,0.42,,0.42,,0.42,,0.42,,0.43,,0.44,,0.43,,0.43,,,,,,,,,,,
