CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Y,,12/31/2026,,2.49,1/20/2026,2.49,12/19/2025,2.46,11/6/2025,2.59,9/28/2025,2.59,8/25/2025,2.59,6/25/2025,2.59,5/12/2025,
,,9/30/2026,,2.6,,2.6,,2.52,,2.58,,2.58,,2.58,,2.58,,
,,6/30/2026,,2.38,,2.38,,2.36,,2.48,,2.48,,2.48,,2.48,,
,,3/30/2026,,2.27,,2.27,,2.24,,2.35,,2.35,,2.35,,2.35,,
,,12/31/2025,,2.07,4/10/2025,2.07,4/10/2025,2.16,4/10/2025,2.15,4/10/2025,2.15,4/10/2025,2.19,4/10/2025,2.27,4/10/2025,
,11/3/2025,9/30/2025,2.11,2.11,,2.05,,2.09,,2.19,,2.25,,,,,,
,8/4/2025,6/30/2025,2.21,2.21,,2.11,,2.09,,2.13,,,,,,,,
,5/6/2025,3/30/2025,2.21,2.21,,2,,1.95,,1.1,,,,,,,,
,2/25/2025,12/31/2024,2.1,2.1,12/23/2024,2.01,11/12/2024,1.83,9/17/2024,1.81,8/3/2024,,,,,,,
,11/5/2024,9/30/2024,2.11,2.11,,1.8,,1.76,,1.69,,,,,,,,
,7/31/2024,6/30/2024,1.75,1.75,,1.53,,1.53,,1.35,,,,,,,,
,5/1/2024,3/30/2024,1.64,1.64,,1.1,,1.06,,1.26,,,,,,,,
,2/21/2024,12/31/2023,1.51,1.51,4/15/2023,1.51,4/15/2023,1.15,4/15/2023,1.15,4/15/2023,,,,,,,
,11/8/2023,9/30/2023,1.52,1.52,,1.52,,1.5,,1.5,,,,,,,,
,8/1/2023,6/30/2023,1.55,1.55,,1.34,,1.34,,1.04,,,,,,,,
,5/2/2023,3/30/2023,1.27,1.27,,1.04,,1.04,,0.94,,,,,,,,
,3/7/2023,12/31/2022,1.1,1.1,,0.91,,0.9,,0.87,,,,,,,,
,11/2/2022,9/30/2022,2.56,2.56,,0.95,,0.95,,0.95,,,,,,,,
,8/2/2022,6/30/2022,1.17,1.17,,0.74,,0.79,,0.79,,,,,,,,
,5/4/2022,3/31/2022,0.64,0.64,,0.28,,0.69,,0.62,,,,,,,,
,3/8/2022,12/31/2021,0.42,0.42,,0.44,,0.45,,0.68,,,,,,,,
,11/3/2021,9/30/2021,0.5,0.52,,0.59,,0.59,,0.59,,,,,,,,
,8/3/2021,6/30/2021,0.62,0.62,,0.52,,0.52,,0.55,,,,,,,,
,5/4/2021,3/31/2021,0.55,0.55,,0.36,,0.36,,0.46,,,,,,,,
,3/4/2021,12/31/2020,0.55,0.55,,0.42,,0.42,,0.42,,,,,,,,
,11/3/2020,9/30/2020,0.4,0.4,,0.32,,0.32,,0.32,,,,,,,,
,8/4/2020,6/30/2020,0.31,0.31,,0.2,,0.68,,0.68,,,,,,,,
,5/5/2020,3/31/2020,0.52,0.52,,0.54,,0.54,,0.54,,,,,,,,
,3/4/2020,12/31/2019,0.76,0.77,,0.6,,0.6,,0.59,,,,,,,,
,11/5/2019,9/30/2019,0.75,0.75,,0.56,,0.57,,0.57,,,,,,,,
,8/6/2019,6/28/2019,0.615776081,0.62,,0.56,,0.69,,,,,,,,,,
,5/7/2019,3/29/2019,0.500133941,0.5,,0.4,,0.63,,,,,,,,,,
,3/6/2019,12/31/2018,0.590836013,0.59,,0.58,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.55601883,0.56,,0.55,,0.54,,,,,,,,,,
,8/2/2018,6/29/2018,0.538243626,0.54,,0.5,,,,,,,,,,,,
,5/4/2018,3/29/2018,0.240851179,0.24,,0.16,,,,,,,,,,,,
,3/1/2018,12/29/2017,0.368435337,,,0.23,,0.34,,0.44,,,,,,,,
,11/2/2017,9/29/2017,0.230382157,,,0.36,,0.32,,0.46,,,,,,,,
,8/2/2017,6/30/2017,0.359142428,,,0.36,,0.29,,0.46,,,,,,,,
,5/3/2017,3/31/2017,0.297519529,,,0.23,,0.42,,,,,,,,,,
,3/2/2017,12/30/2016,0.204246575,,,0.23,,0.35,,0.34,,,,,,,,
,11/2/2016,9/30/2016,0.365016411,,,0.48,,0.39,,0.45,,,,,,,,
,8/2/2016,6/30/2016,0.376151836,,,0.19,,0.42,,0.41,,,,,,,,
,5/4/2016,3/31/2016,0.148173673,,,0.29,,0.32,,,,,,,,,,
,,12/31/2015,0.231236203,,,0.28,,0.44,,0.46,,,,,,,,
,,9/30/2015,0.27538036,,,0.32,,0.41,,0.43,,,,,,,,
,,6/30/2015,0.315256588,,,0.22,,0.39,,0.44,,,,,,,,
,,3/31/2015,0.229806757,,,0.26,,0.37,,0.4,,,,,,,,
,,12/31/2014,0.218437152,,,0.29,,0.4,,0.37,,,,,,,,
,,9/30/2014,0.287503479,,,0.26,,0.4,,0.35,,,,,,,,
,,6/30/2014,0.259486607,,,0.39,,0.41,,0.46,,,,,,,,
,,3/31/2014,0.2884723,,,0.38,,0.41,,0.39,,,,,,,,
,,12/31/2013,0.473433338,,,0.42,,0.43,,0.44,,,,,,,,
,,9/30/2013,0.405942252,,,0.37,,0.4,,0.42,,,,,,,,
,,6/28/2013,0.420592384,,,0.41,,0.42,,0.43,,0.44,0.42,0.44,0.4,,,
,,3/28/2013,0.286414217,,,0.36,,0.35,,0.37,,0.36,0.38,0.38,,,,
,,12/31/2012,0.454004252,,,0.38,,0.4,,0.35,,,,,,,,
,,9/28/2012,0.366925795,,,0.36,,,,,,,,,,,,
,,6/29/2012,0.389369242,,,0.37,,,,,,,,,,,,
,,3/30/2012,0.334139403,,,,,,,,,,,,,,,
,,12/30/2011,0.42853067,,,,,,,,,,,,,,,
,,9/30/2011,0.347906844,,,,,,,,,,,,,,,
,,6/30/2011,0.38699513,,,,,,,,,,,,,,,
,,3/31/2011,0.316401205,,,,,,,,,,,,,,,
,,12/31/2010,0.449309091,,,,,,,,,,,,,,,
,,9/30/2010,0.348563007,,,,,,,,,,,,,,,
,,6/30/2010,0.339330855,,,,,,,,,,,,,,,
,,3/31/2010,0.227491719,,,,,,,,,,,,,,,
,,12/31/2009,0.461709565,,,,,,,,,,,,,,,
,,9/30/2009,0.335343596,,,,,,,,,,,,,,,
,,6/30/2009,0.091423033,,,,,,,,,,,,,,,
,,3/31/2009,0.05607021,,,,,,,,,,,,,,,
,,12/31/2008,0.19,,,,,,,,,,,,,,,
,,9/30/2008,0.2,,,,,,,,,,,,,,,
,,6/30/2008,0.25,,,,,,,,,,,,,,,
,,3/31/2008,0.19,,,,,,,,,,,,,,,
,,12/31/2007,0.3,,,,,,,,,,,,,,,
,,9/28/2007,0.15,,,,,,,,,,,,,,,
,,6/29/2007,0.17,,,,,,,,,,,,,,,
,,3/30/2007,0.09,,,,,,,,,,,,,,,
,,12/29/2006,0.15,,,,,,,,,,,,,,,
,,9/29/2006,0.07,,,,,,,,,,,,,,,
,,6/30/2006,0.13,,,,,,,,,,,,,,,
,,3/31/2006,0.11,,,,,,,,,,,,,,,
,,12/30/2005,0.08,,,,,,,,,,,,,,,
,,9/30/2005,-0.03,,,,,,,,,,,,,,,
,,6/30/2005,0.06,,,,,,,,,,,,,,,
,,3/31/2005,0.02,,,,,,,,,,,,,,,
,,12/31/2004,0.080383337,,,,,,,,,,,,,,,
,,9/30/2004,0.037727444,,,,,,,,,,,,,,,
,,6/30/2004,0.043208089,,,,,,,,,,,,,,,
,,3/31/2004,0.011192381,,,,,,,,,,,,,,,
,,12/31/2003,-0.241814159,,,,,,,,,,,,,,,
,,9/30/2003,0.008977458,,,,,,,,,,,,,,,
,,6/30/2003,-0.021277396,,,,,,,,,,,,,,,
,,3/31/2003,-0.083169906,,,,,,,,,,,,,,,
,,12/31/2002,0.000985642,,,,,,,,,,,,,,,
,,9/30/2002,0.000867656,,,,,,,,,,,,,,,
,,6/28/2002,0.016711813,,,,,,,,,,,,,,,
,,3/28/2002,-0.073364898,,,,,,,,,,,,,,,
,,12/31/2001,-0.35,,,,,,,,,,,,,,,
,,9/28/2001,-0.223705238,,,,,,,,,,,,,,,
,,6/29/2001,-0.06408493,,,,,,,,,,,,,,,
,,3/30/2001,-0.084181617,,,,,,,,,,,,,,,
,,12/29/2000,0.08,,,,,,,,,,,,,,,
,,9/29/2000,0.050098987,,,,,,,,,,,,,,,
,,6/30/2000,0.065615152,,,,,,,,,,,,,,,
,,3/31/2000,0.049645421,,,,,,,,,,,,,,,
,,12/31/1999,0.14,,,,,,,,,,,,,,,
,,9/30/1999,0.061259175,,,,,,,,,,,,,,,
,,6/30/1999,0.088134788,,,,,,,,,,,,,,,
,,3/31/1999,0.05902139,,,,,,,,,,,,,,,
,,12/31/1998,0.11,,,,,,,,,,,,,,,
,,9/30/1998,0.1,,,,,,,,,,,,,,,
,,6/30/1998,0.08,,,,,,,,,,,,,,,
