CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
N,,12/31/2021,2.9,7/29/2020,2.7,6/27/2020,3.05,5/14/2020,3.05,4/1/2020,,,,,,,,,,,,,,,,,,,,
,,9/30/2021,1.41,,1.08,,1.99,,1.99,,,,,,,,,,,,,,,,,,,,,
,,6/30/2021,1.79,,1.54,,1.83,,1.83,,,,,,,,,,,,,,,,,,,,,
,,3/31/2021,0.68,,0.57,,1.15,,1.15,,,,,,,,,,,,,,,,,,,,,
,,12/31/2020,0.02,4/1/2020,0.62,4/1/2020,1.15,4/1/2020,4.11,4/1/2020,4.27,3/2/2020,4.18,1/31/2020,4.19,1/18/2020,4.16,,4.06,,4.04,,3.9,,3.78,,,,,
,,9/30/2020,-3.03,,-0.29,,-3.01,,1.8,,3.22,,3.06,,2.96,,2.97,,3.02,,3.01,,2.65,,2.24,,,,,
,7/29/2020,6/30/2020,-5.85,,-6.36,,-7.2,,1.45,,5.61,,5.42,,5.27,,5.25,,5.29,,5.26,,5.05,,5.18,,,,,
,5/12/2020,3/31/2020,-2.08,,2.49,,4.53,,4.48,,4.49,,4.51,,4.42,,4.41,,3.92,,3.73,,,,,,,,,
,1/29/2020,12/31/2019,3.72,,3.68,,3.92,,3.93,,3.47,,3.23,,3.11,2.65,3.71,,,,,,,,,,,,,
,10/24/2019,9/30/2019,2.702849305,,2.18,,2.19,,1.83,,1.81,,1.58,2.35,,,,,,,,,,,,,,,,
,7/24/2019,6/28/2019,4.32796067,,4.61,,4.64,,4.63,,3.87,,3.75,,,,,,,,,,,,,,,,,
,4/24/2019,3/29/2019,3.517454568,,3.88,,3.93,,3.38,,3.85,,,,,,,,,,,,,,,,,,,
,1/30/2019,12/31/2018,2.560635437,,2.47,,3,,3.01,,2.62,,2.71,,,,,,,,,,,,,,,,,
,10/24/2018,9/28/2018,0.93678737,,0.96,,1.65,,2.5,,2.63,,,,,,,,,,,,,,,,,,,
,7/25/2018,6/29/2018,3.09545312,,2.71,,2.87,,3.26,,3.57,,,,,,,,,,,,,,,,,,,
,4/25/2018,3/29/2018,3.42338659,,3.01,,3.3,,3.37,,,,,,,,,,,,,,,,,,,,,
,1/31/2018,12/29/2017,5.125939733,,1.66,,2.29,,2.52,,2.51,,2.57,2.47,2.49,2.73,3.46,3.71,,,,,,,,,,,,
,10/25/2017,9/29/2017,1.405434371,,1.33,,2.01,,2.33,,2.29,,2.33,2.29,2.3,2.26,3.23,3.13,3.01,,,,,,,,,,,
,7/26/2017,6/30/2017,2.988594328,,2.96,,2.74,,3.02,,2.95,,3.02,3.03,3.05,3.09,3.16,3.67,3.64,2.67,,,,,,,,,,
,4/25/2017,3/31/2017,2.537917581,,2.56,,3,,3.22,,3.26,,3.37,3.36,3.59,4.11,4.26,2.4,,,,,,,,,,,,
,1/31/2017,12/30/2016,2.518288222,,2.4,,2.34,,2.35,,2.68,,2.82,3.15,3.16,3.27,3.33,3.13,3.08,3.14,3.15,3.3,3.44,3.03,3.01,2.66,,,,
,10/26/2016,9/30/2016,2.770510789,,2.66,,2.53,,2.93,,2.86,,2.87,2.79,2.82,2.7,2.68,2.67,2.66,2.77,2.7,2.37,2.44,3.55,,,,,,
,7/29/2016,6/30/2016,3.679418562,,3.55,,3.4,,3.47,,3.72,,3.71,3.77,3.69,3.72,3.73,3.75,3.71,3.6,3.26,2.85,4.28,,,,,,,
,4/27/2016,3/31/2016,4.310437751,,4.28,,4.19,,4.16,,3.98,,3.96,4.08,4.09,4.02,3.76,3.6,3.14,,,,,,,,,,,
,,12/31/2015,3.377687772,,3.14,,3.12,,3.01,,3,,3.09,3.06,2.68,2.63,2.61,2.46,2.45,2.47,2.37,2.15,1.65,1.59,1.51,1.48,1.53,1.56,1.49,2.63
,,9/30/2015,2.620190883,,2.66,,2.5,,2.42,,2.4,,2.34,2.29,2.33,2.23,1.9,1.47,1.43,1.28,1.24,1.31,1.36,1.23,,,,,,
,,6/30/2015,3.197916667,,3.13,,2.95,,2.99,,3.45,,3.43,3.37,3.38,3.41,3.05,2.37,2.34,2.1,2.07,1.99,1.83,,,,,,,
,,3/31/2015,3.763241863,,3.53,,3.5,,3.36,,3.38,,3.31,3.22,2.55,2.5,2.37,2.57,2.55,2.48,2.47,1.27,,,,,,,,
,,12/31/2014,0.274727794,,1.72,,1.69,,1.38,,1.36,,1.39,1.37,1.29,1.32,1.31,1.28,1.32,1.25,1.32,1.36,1.42,1.38,1.4,1.25,1.02,,,
,,9/30/2014,0.800497063,,0.83,,0.85,,1.05,,1.2,,1.19,1.2,1.21,1.19,1.2,1.27,1.28,1.29,1.36,1.56,,,,,,,,
,,6/30/2014,1.867730199,,1.59,,1.53,,1.65,,1.68,,1.66,1.63,1.68,1.66,1.69,1.67,1.77,,,,,,,,,,,
,,3/31/2014,1.875383604,,1.79,,1.39,,2.02,,1.99,,1.95,1.92,1.91,1.93,1.99,0.9,,,,,,,,,,,,
,,12/31/2013,0.939771994,,0.93,,0.95,,0.97,,1.02,,1.04,1.11,0.91,,,,,,,,,,,,,,,
,,9/30/2013,0.910184101,,0.9,,0.93,,0.91,,1.11,,1.12,1.11,1.52,,,,,,,,,,,,,,,
,,6/28/2013,1.352870122,,1.5,,1.51,,1.55,,1.6,,1.56,1.54,1.59,1.61,1.48,,,,,,,,,,,,,
,,3/28/2013,1.662518873,,1.44,,1.4,,1.41,,1.43,,1.44,1.51,1.6,1.67,0.72,,,,,,,,,,,,,
,,12/28/2012,0.76,,0.83,,0.77,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.88,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.3,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.13,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
