CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,2/23/2021,12/31/2020,5.34,5.34,,3.67,,3.64,,3.36,3/26/2020,,,,,,,,,,,,,,
,11/3/2020,9/30/2020,3.52,3.52,,2.15,,2.08,,1.83,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,2.21,2.21,,1.44,,1.65,,2.1,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,1.67,1.67,,1.15,,1.07,,1.07,,,,,,,,,,,,,,,
,2/25/2020,12/31/2019,2.52,2.52,,2.34,,2.34,,2.26,,,,,,,,,,,,,,,
,11/5/2019,9/30/2019,1.93,1.93,,1.92,,1.94,,1.94,,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,1.816235389,1.82,,1.63,,1.84,,1.85,,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,0.730840559,0.73,,0.88,,0.83,,0.89,,,,,,,,,,,,,,,
,2/26/2019,12/31/2018,1.723833562,1.72,,1.75,,1.67,,1.69,,,,,,,,,,,,,,,
,11/6/2018,9/28/2018,1.515188699,1.52,,1.47,,1.68,,1.71,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,1.904270717,1.9,,1.64,,1.63,,1.7,,,,,,,,,,,,,,,
,5/8/2018,3/29/2018,1.102130237,1.1,,0.78,,0.82,,0.81,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,1.426027124,,,1.39,,1.18,,1.16,,,,,,,,,,,,,,,
,11/7/2017,9/29/2017,1.400684438,,,1.33,,1.12,,1.1,,,,,,,,,,,,,,,
,8/8/2017,6/30/2017,1.385344808,,,1.26,,1.1,,0.98,,,,,,,,,,,,,,,
,5/9/2017,3/31/2017,0.516946634,,,0.5,,0.52,,0.58,,,,,,,,,,,,,,,
,,12/30/2016,1.014258228,,,0.94,,0.97,,1,,,,,,,,,,,,,,,
,,9/30/2016,0.858559671,,,0.85,,0.86,,0.92,,,,,,,,,,,,,,,
,,6/30/2016,0.96146449,,,0.87,,0.88,,0.81,,,,,,,,,,,,,,,
,,3/31/2016,0.571817519,,,0.52,,0.51,,0.49,,,,,,,,,,,,,,,
,,12/31/2015,0.742924823,,,0.71,,0.64,,,,,,,,,,,,,,,,,
,,9/30/2015,0.758912908,,,0.71,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.658147679,,,0.61,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.323493658,,,0.31,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.340342919,,,0.37,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.337422583,,,0.34,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.433036512,,,0.33,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.220201593,,,0.17,,,,,,,,,,,,,,,,,,,
