CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,
N,,1/30/2024,,1.27,9/25/2022,1.34,8/22/2022,1.43,7/29/2022,1.44,6/24/2022,1.47,5/21/2022,1.47,4/10/2022,,3/7/2022,1.21,1/21/2022,1.23,12/21/2021,1.24,11/20/2021,1.29,11/7/2021,1.32,9/22/2021,1.34,8/22/2021,1.34,7/18/2021,1.34,6/19/2021,1.57,5/22/2021,1.23,5/7/2021,1.2,4/5/2021,1.24,3/3/2021,1.38,2/27/2021,1.38,2/26/2021
,,10/30/2023,,0.99,,1.16,,1.29,,1.32,,1.37,,1.37,,,,1.27,,1.28,,1.06,,1.04,,1.05,,1.18,,1.16,,1.16,,1.3,,1.02,,1.01,,1.04,,1.12,,1.12,
,,7/30/2023,,1.29,,1.18,,1.22,,1.23,,1.39,,1.39,,,,1.47,,1.47,,1.48,,1.51,,1.52,,1.32,,1.2,,1.2,,1.3,,1.03,,1.02,,1.03,,1.1,,1.1,
,,4/30/2023,,1.15,,1.13,,1.18,,1.19,,1.15,,1.15,,,,1.38,,1.38,,1.42,,1.44,,1.47,,1.55,,1.54,,1.54,,1.13,,0.85,,0.83,,0.84,,0.89,,0.89,
,,1/29/2023,,1.12,,1.12,,1.28,,1.3,,1.41,,1.41,,1.38,,1.21,1/21/2022,1.23,12/21/2021,1.24,11/20/2021,1.29,11/7/2021,1.32,9/22/2021,1.34,8/22/2021,1.34,7/18/2021,1.34,6/19/2021,1.57,5/22/2021,1.23,5/7/2021,1.2,4/5/2021,1.24,3/3/2021,1.38,2/27/2021,1.38,2/26/2021
,,10/30/2022,,0.8,,0.8,,1.1,,1.13,,1.28,,1.29,,1.29,,1.27,,1.28,,1.06,,1.04,,1.05,,1.18,,1.16,,1.16,,1.3,,1.02,,1.01,,1.04,,1.12,,1.12,
,8/18/2022,7/31/2022,1.11,1.11,,1.03,,1.04,,1.33,,1.36,,1.37,,1.47,,1.47,,1.48,,1.51,,1.52,,1.32,,1.2,,1.2,,1.3,,1.03,,1.02,,1.03,,1.1,,1.1,,,
,5/19/2022,4/30/2022,0.97,0.91,,0.99,,1.05,,1.38,,1.38,,1.42,,1.44,,1.47,,1.55,,1.54,,1.54,,1.13,,0.85,,0.83,,0.84,,0.89,,0.89,,,,,,,,,
,3/1/2022,1/29/2022,1.04,1.04,,0.98,,0.98,,1.01,,1.01,,1.01,,1.12,,1.13,,1.13,,1.25,,1.23,5/7/2021,1.2,4/5/2021,1.24,3/3/2021,1.38,2/27/2021,1.38,2/26/2021,,,,,,,,,,,,
,11/18/2021,10/30/2021,1.09,0.77,,0.77,,0.77,,0.92,,0.93,,0.93,,1.03,,1.02,,1.01,,1.04,,1.12,,1.12,,,,,,,,,,,,,,,,,,,
,8/19/2021,7/31/2021,1.39,1.39,,0.93,,0.93,,1.03,,1.03,,1.02,,1.03,,1.1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
,5/20/2021,4/30/2021,1.34,1.34,,0.85,,0.83,,0.84,,0.89,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/2/2021,1/29/2021,0.67,0.67,,1,,1,,1.39,,1.4,,1.374446903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
