Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
,12/31/2021,1.54,7/2/2020,1.6,5/22/2020,1.6,5/20/2020,,,,,,,,,,,
,9/30/2021,1.42,,1.4,,1.4,,,,,,,,,,,,
,6/30/2021,1.34,,1.35,,1.35,,,,,,,,,,,,
,3/31/2021,1.24,,1.24,,1.24,,,,,,,,,,,,
,12/31/2020,1.44,,1.44,,1.44,,1.62,,1.63,,1.62,,1.61,,,,
,9/30/2020,1.05,,1.05,,1.05,,1.32,,1.5,,1.46,,1.43,,,,
,6/30/2020,0.83,,0.82,,0.82,,1.18,,1.4,,1.34,,,,,,
4/30/2020,3/31/2020,0.63196506,,1.01,,1.05,,1.28,,1.27,,1.28,,,,,,
2/20/2020,12/31/2019,1.16488873,,1.47,,1.46,,1.47,,1.46,,1.45,,1.41,,1.4,,
10/30/2019,9/30/2019,1.253635993,,1.29,,1.28,,1.27,,1.25,,1.23,,,,,,
7/31/2019,6/28/2019,0.616029837,,1.18,,1.17,,1.18,,1.16,,1.17,,1.14,,1.15,,
5/1/2019,3/29/2019,0.659476117,,1.06,,1.03,,1.02,,1.03,,,,,,,,
2/27/2019,12/31/2018,1.073062309,,1.27,,1.26,,1.24,,1.16,,1.13,,1.07,,1.06,,1.03
10/31/2018,9/28/2018,0.022479175,,1.07,,1.08,,1.06,,1.04,,1.01,,0.97,,,,
8/1/2018,6/29/2018,0.635264385,,0.96,,0.99,,0.97,,0.95,,0.9,,,,,,
4/25/2018,3/29/2018,0.58918396,,0.84,,0.88,,0.87,,0.85,,0.83,,,,,,
2/21/2018,12/29/2017,-0.253976293,,1.02,,0.94,,0.93,,,,,,,,,,
10/25/2017,9/29/2017,0.731798033,,0.85,,0.86,,,,,,,,,,,,
8/7/2017,6/30/2017,0.44952607,,0.74,,,,,,,,,,,,,,
4/25/2017,3/31/2017,0.385458213,,0.6,,,,,,,,,,,,,,
,12/30/2016,0.215765911,,0.64,,,,,,,,,,,,,,
,9/30/2016,0.4874227,,0.64,,,,,,,,,,,,,,
,6/30/2016,0.600372613,,0.58,,,,,,,,,,,,,,
,3/31/2016,-0.265270187,,0.53,,,,,,,,,,,,,,
,12/31/2015,0.44831003,,0.49,,,,,,,,,,,,,,
,9/30/2015,0.372559209,,0.45,,,,,,,,,,,,,,
,6/30/2015,0.197216883,,0.4,,,,,,,,,,,,,,
,3/31/2015,0.273778613,,0.31,,,,,,,,,,,,,,
,12/31/2014,-0.450240707,,0.3,,,,,,,,,,,,,,
,9/30/2014,0.027928313,,nan,,,,,,,,,,,,,,
,6/30/2014,-0.100725142,,nan,,,,,,,,,,,,,,
,3/31/2014,-0.249354326,,nan,,,,,,,,,,,,,,
,1/2/2014,-0.24,,nan,,,,,,,,,,,,,,
,9/30/2013,-2.11,,nan,,,,,,,,,,,,,,
,6/28/2013,0.12,,nan,,,,,,,,,,,,,,
