CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
N,,3/30/2027,,2,11/11/2025,1.71,9/23/2025,1.71,8/17/2025,1.89,7/1/2025,1.89,5/17/2025,,,
,,12/30/2026,,3.19,,2.24,,2.24,,2.6,,2.51,,,,
,,9/30/2026,,1.61,,1.91,,1.91,,2.44,,2.45,,,,
,,6/30/2026,,1.7,,2.56,,2.49,,2.97,,2.97,,,,
,,3/30/2026,,0.48,4/23/2025,0.58,4/23/2025,0.59,4/23/2025,0.53,4/23/2025,0.85,4/23/2025,,,
,,12/30/2025,,0.77,,0.71,,0.75,,0.75,,1.37,,,,
,11/6/2025,9/30/2025,-0.73,1.47,,0.92,,0.98,,1.11,,1.07,,,,
,8/7/2025,6/30/2025,-0.07,0.62,,0.27,,0.24,,0.21,,,,,,
,5/15/2025,3/30/2025,-21.08,1.09,7/4/2024,1.1,7/4/2024,1.08,7/4/2024,1.09,7/4/2024,,,,,
,2/6/2025,12/30/2024,-0.71,0.72,,0.57,,0.67,,0.98,,,,,,
,11/6/2024,9/30/2024,-2.08,0.66,,0.42,,0.42,,0.97,,,,,,
,8/8/2024,6/30/2024,-1.52,0.05,,0.01,,0.14,,0.45,,,,,,
,5/16/2024,3/30/2024,-17.02,0.28,6/27/2023,0.09,6/27/2023,0.36,6/27/2023,0.94,6/27/2023,,,,,
,2/8/2024,12/30/2023,-0.54,0.71,,0.73,,0.8,,0.94,,,,,,
,11/8/2023,9/30/2023,-3.2,1.22,,1.03,,1.05,,1.2,,,,,,
,8/8/2023,6/30/2023,-1.22,0.27,,0.38,,0.47,,0.87,,,,,,
,5/17/2023,3/30/2023,-3.62,0.59,,0.68,,0.68,,0.72,,,,,,
,2/6/2023,12/30/2022,-0.91,0.86,,0.88,,0.87,,0.98,,,,,,
,11/9/2022,9/30/2022,-1.54,1.3,,1.38,,1.39,,1.59,,,,,,
,8/8/2022,6/30/2022,-0.76,0.74,,0.91,,0.93,,0.72,,,,,,
,5/16/2022,3/31/2022,0.95,1.09,,1.05,,1.06,,1.06,,,,,,
,2/7/2022,12/31/2021,1.24,1.32,,1.19,,1.23,,1.18,,,,,,
,11/3/2021,9/30/2021,0.09,1.63,,1.33,,1.33,,1.31,,,,,,
,8/2/2021,6/30/2021,1.3,1.01,,0.9,,0.88,,0.88,,,,,,
,5/18/2021,3/31/2021,1.88,0.94,,0.66,,0.67,,0.48,,,,,,
,2/8/2021,12/31/2020,1.57,1.25,,0.94,,0.92,,0.7,,,,,,
